Rk	break	team	Pts	Spk	1sts	2nds
1	(different break)	Mango	11	788.00	3	1
2	(different break)	Tititum	10	783.00	2	2
3	1	Oxford B	9	776.00	0	4
4	(different break)	Escaping from blue light	9	772.00	2	1
5	(different break)	Oedipus and his madre	9	772.00	1	2
6	(different break)	Mickey Mouse, Winnie the Pooh Case	9	768.00	1	2
7	2	Zagreb LR	8	765.00	1	1
8	3	No answer	8	760.00	1	2
9	4	Breaking news	8	758.00	1	1
