Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds
1	Tel Aviv A	ESL	1st	2nd	1st	1st	1st	1st	2nd	1st	1st	25	1491	7	2
2	LSE A		1st	1st	1st	2nd	3rd	2nd	2nd	1st	2nd	21	1484	4	4
3	Haifa A	ESL	1st	3rd	1st	1st	4th	1st	2nd	1st	1st	21	1431	6	1
4	TCD Phil A		1st	4th	1st	1st	1st	1st	3rd	2nd	2nd	20	1475	5	2
5	TCD Hist B		1st	2nd	1st	1st	4th	1st	4th	1st	1st	20	1467	6	1
6	Sofia A	ESL	2nd	2nd	2nd	1st	1st	2nd	1st	2nd	3rd	20	1465	3	5
7	Oxford B		1st	1st	3rd	2nd	1st	4th	1st	3rd	1st	19	1470	5	1
8	Imperial A		2nd	1st	2nd	2nd	2nd	2nd	4th	1st	1st	19	1458	3	5
9	Vienna A	ESL	1st	1st	1st	3rd	3rd	1st	1st	3rd	4th	18	1463	5	0
10	NSDV Trivium B	ESL	1st	1st	2nd	2nd	2nd	3rd	1st	4th	2nd	18	1458	3	4
11	Oxford A		3rd	3rd	1st	1st	1st	2nd	1st	4th	2nd	18	1445	4	2
12	LSE B		2nd	1st	3rd	1st	2nd	1st	3rd	2nd	3rd	18	1437	3	3
13	Glasgow A		1st	2nd	2nd	3rd	4th	2nd	2nd	1st	1st	18	1433	3	4
14	Cambridge A		1st	1st	4th	2nd	1st	2nd	3rd	3rd	1st	18	1429	4	2
15	Oxford C		2nd	3rd	1st	4th	1st	1st	3rd	2nd	1st	18	1425	4	2
16	Edinburgh A		2nd	1st	1st	1st	2nd	4th	3rd	2nd	2nd	18	1422	3	4
17	Ljubljana A	ESL	2nd	3rd	3rd	1st	1st	1st	2nd	1st	4th	18	1419	4	2
18	TCD Hist C		2nd	3rd	1st	2nd	2nd	1st	4th	2nd	1st	18	1419	3	4
19	Zagreb C	ESL	3rd	1st	2nd	1st	3rd	3rd	1st	1st	3rd	18	1404	4	1
20	Belgrade A	ESL	1st	3rd	1st	1st	1st	3rd	4th	3rd	2nd	17	1451	4	1
21	Zagreb A	ESL	2nd	2nd	1st	4th	1st	3rd	2nd	1st	3rd	17	1438	3	3
22	Hebrew A		2nd	1st	2nd	3rd	4th	1st	3rd	1st	2nd	17	1426	3	3
23	Zagreb B	ESL	1st	3rd	2nd	3rd	2nd	1st	1st	4th	2nd	17	1421	3	3
24	Vienna B	ESL	1st	2nd	1st	3rd	4th	2nd	1st	3rd	2nd	17	1418	3	3
25	KCL A		1st	2nd	3rd	1st	4th	2nd	3rd	2nd	1st	17	1417	3	3
26	Edinburgh B		1st	3rd	2nd	2nd	1st	3rd	4th	2nd	1st	17	1412	3	3
27	Sciences Po Reims A		3rd	2nd	3rd	1st	2nd	1st	1st	2nd	4th	17	1410	3	3
28	Glasgow B		1st	2nd	4th	2nd	1st	4th	1st	1st	3rd	17	1408	4	2
29	Technion A	ESL	1st	1st	2nd	4th	2nd	2nd	3rd	3rd	2nd	16	1428	2	4
30	Utrecht A	ESL	1st	1st	4th	1st	3rd	3rd	1st	2nd	4th	16	1425	4	1
31	LSE C		1st	2nd	2nd	3rd	1st	3rd	2nd	3rd	3rd	16	1424	2	3
32	Bristol A		1st	3rd	1st	2nd	2nd	4th	2nd	2nd	3rd	16	1422	2	4
33	Bucharest A	ESL	1st	1st	2nd	4th	3rd	1st	3rd	4th	1st	16	1412	4	1
