Rk	break	team	Pts	Spk	1sts	2nds
1	1	Cornell 2	13	774.00	3	2
2	2	QDU momager unleashed	12	769.00	3	1
3	3	Cornell 1	11	780.00	3	1
4	4	QDU legacy	11	772.00	3	1
5	5	Stanford 1	10	768.00	1	3
6	6	UPenn 1	10	766.00	2	1
7	7	QDU the closet is glass	9	756.00	1	3
8	8	Colgate 1	9	752.00	2	1
