Rk	break	team	Pts	Spk	1sts	2nds	3rds
1	(different break)	Sofia A	23	1504.00	7	1	0
2	(different break)	TAU A	22	1509.00	5	3	1
3	(different break)	Bucharest A	20	1441.00	3	5	1
4	(different break)	UNWE A	19	1453.00	4	3	1
5	(different break)	EUDU A	19	1447.00	4	2	3
6	(different break)	Zagreb A	18	1454.00	2	5	2
7	(different break)	PUCP A	17	1439.00	2	5	1
8	(different break)	Sofia B	17	1427.00	4	1	3
9	(different break)	Tokyo A	17	1422.00	4	0	5
10	(different break)	TAU B	17	1415.00	3	3	2
11	(different break)	Sciences Po B	17	1403.00	3	3	2
12	1	Zagreb C	16	1430.00	4	2	0
13	2	DK Wien A	16	1422.00	5	0	1
14	3	Tokyo B	16	1412.00	3	2	3
15	4	KNUST A	16	1401.00	3	3	1
16	5	KNUST B	16	1400.00	3	3	1
17	6	ITB A	16	1379.00	3	2	3
18	7	Ghana A	15	1405.00	0	6	3
19	8	BINUS A	15	1401.00	3	2	2
