Rk	break	team	Pts	Spk	1sts	2nds	3rds
1	(different break)	PUCP A	17	1439.00	2	5	1
2	(different break)	Zagreb C	16	1430.00	4	2	0
3	(different break)	ITB A	16	1379.00	3	2	3
4	(different break)	BINUS A	15	1401.00	3	2	2
5	1	Zagreb E	15	1400.00	2	3	3
6	2	Zagreb B	14	1432.00	2	4	0
7	3	Rosario A	14	1356.00	2	3	2
8	4	Athens A	13	1392.00	3	1	2
