Rk	break	team	Pts	Spk	1sts	2nds
1	1	PDP XI	13	817.00	4	0
2	2	Dartmouth LW	13	816.00	3	2
3	3	MDU MS	13	806.00	3	2
4	4	MDU RY	12	809.00	3	1
5	5	Stanford HS	12	807.00	2	3
6	6	UChicago PH	12	806.00	4	0
7	7	HCDU MA	12	797.00	3	1
8	8	Hybrid SA	11	803.00	2	2
9	9	Stanford BL	11	791.00	2	2
10	10	Hybrid AG	11	790.00	2	2
11	11	Cornell OP	11	788.00	2	2
12	12	HCDU LK	11	784.00	3	1
13	13	HWS RT	11	772.00	1	4
14	14	EDS AO	10	799.00	1	3
15	15	DSB XK	10	787.00	3	0
16	16	PDP HB	10	785.00	3	0
