Rk	break	team	Pts	Spk	1sts	2nds
1	(different break)	Stanford BL	11	791.00	2	2
2	(different break)	DSB XK	10	787.00	3	0
3	(different break)	PDP HB	10	785.00	3	0
4	1	HCDU PC	10	775.00	1	3
5	2	HCDU HH	10	769.00	3	0
6	3	HCDU GC	9	798.00	3	0
7	(ineligible)	Hybrid SM	9	766.00	1	3
8	4	UPenn GK	9	759.00	1	3
9	5	UPenn BK	9	758.00	2	1
10	6	Stanford HB	9	757.00	2	0
11	7	Dartmouth TZ	9	757.00	1	2
12	8	UPenn SL	8	792.00	2	0
