team	result	side	adjudicators
Chicago BH	eliminated	Opening Government	Sher MayⒸ , Cameron Miranda-Radbord , Jane Mentzinger
DANEIS A(sleep)	advancing	Opening Opposition	Sher MayⒸ , Cameron Miranda-Radbord , Jane Mentzinger
belt and road	eliminated	Closing Government	Sher MayⒸ , Cameron Miranda-Radbord , Jane Mentzinger
Oxford AP	advancing	Closing Opposition	Sher MayⒸ , Cameron Miranda-Radbord , Jane Mentzinger
Mostly harmless	eliminated	Opening Government	Ellie StephensonⒸ , Ayushi Nasa , Mishaal Said
Dumbfuck Diggory	advancing	Opening Opposition	Ellie StephensonⒸ , Ayushi Nasa , Mishaal Said
The dota player says: &#x27;lol sucks&#x27;. 	eliminated	Closing Government	Ellie StephensonⒸ , Ayushi Nasa , Mishaal Said
Came back from getting milk	advancing	Closing Opposition	Ellie StephensonⒸ , Ayushi Nasa , Mishaal Said
