Rk	break	team	Pts	ATSS	Spk	1sts	2nds
1	(different break)	Bard CS	11	151.50	909.00	1	3
2	(different break)	Bard SB	11	149.83	899.00	2	1
3	1	UVM SS	10	150.50	903.00	2	2
4	2	Cornell GL	10	148.17	889.00	2	1
5	3	Cornell KW	9	151.50	909.00	1	3
6	4	Colgate DR	9	149.67	898.00	2	1
7	5	Cornell DP	9	147.83	887.00	2	1
8	6	Pepperdine HW	8	149.67	898.00	0	2
9	7	ROC LZ	8	148.33	890.00	0	3
10	8	HWS TW	8	146.00	876.00	1	1
