Rk	break	team	institution	Pts	Spk	1sts	2nds
1	(different break)	Oxford LM	Oxford	14	808.00	4	1
2	(different break)	Oxford G	Oxford	11	786.00	1	4
3	1	Penn A	Penn	9	792.00	2	1
4	2	Cambridge A	Cambridge	8	780.00	1	1
5	3	Oxford E	Oxford	8	779.00	1	2
6	4	Cambridge B	Cambridge	7	764.00	1	1
