Rk	break	team	institution	Pts	Spk	1sts	2nds
1	(different break)	Oxford LM	Oxford	14	808.00	4	1
2	(different break)	Harvard/ LSE A	—	11	795.00	3	1
3	(different break)	BeDU Berlin A	BeDU	10	790.00	2	2
4	1	Barcelona A	Barcelona	9	785.00	3	0
5	2	KCL C	KCL	9	779.00	1	2
6=	3	Durham B	Durham	8	772.00	2	1
6=	3	Manchester/Edinburgh A	—	8	772.00	2	1
