Rk	break	team	Pts	Spk	1sts	2nds
1	1	Stanford TY	9	774.00	0	4
2	(ineligible)	IND Phi Epsilon Nu Iota Sigma	8	777.00	2	1
3	2	MDU Mercedes-Benz	8	757.00	2	0
4	3	Guelph Tab Toppers	8	755.00	2	0
5	4	Cornell AS	8	755.00	1	2
6	5	Chicago Adam&#x27;s Apple	8	755.00	1	1
7	(ineligible)	Windsor UF	8	742.00	1	2
8	6	Cornell GC	7	760.00	1	2
9	7	UBC Verba Invicta	7	755.00	1	1
10	8	Princeton C	7	754.00	1	1
