Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	MDU RY		1st	1st	1st	2nd	1st	14	807	4	1
2	Princeton A		2nd	1st	1st	3rd	1st	12	824	3	1
3	MDU Rolls Royce		1st	1st	1st	1st	4th	12	805	4	0
4	UWODS		1st	2nd	2nd	1st	2nd	12	803	2	3
5	IND Halifax Grammar School		1st	1st	3rd	1st	2nd	12	799	3	1
6	IND NU Phone Hu Dis		3rd	1st	1st	2nd	1st	12	794	3	1
7	Yale BS		1st	1st	4th	1st	2nd	11	807	3	1
8	Cornell ER		1st	1st	2nd	2nd	3rd	11	802	2	2
9	IND Athabasca/Concordia Hybrid		2nd	1st	1st	4th	1st	11	784	3	1
10	Yale MS		2nd	1st	3rd	2nd	1st	11	776	2	2
11	IND Matt and Ryan		1st	1st	2nd	3rd	3rd	10	804	2	1
12	Harvard Miles Wang		2nd	2nd	1st	1st	4th	10	796	2	2
13	MDU Aziz-Lewis		3rd	1st	2nd	3rd	1st	10	796	2	1
14	QDU CK		1st	3rd	1st	4th	1st	10	789	3	0
15	IND An economist and a lawyer walk int		2nd	1st	3rd	1st	3rd	10	787	2	1
16	EDS Aaron Boone vs the mlbua		2nd	3rd	1st	2nd	2nd	10	782	1	3
17	Stanford DB		4th	1st	2nd	2nd	1st	10	781	2	2
18	UW retiring any 2nd now		1st	2nd	2nd	4th	1st	10	776	2	2
19	Yale GD		1st	4th	2nd	1st	2nd	10	775	2	2
20	Stanford TC		1st	3rd	2nd	2nd	2nd	10	774	1	3
21	Cornell IA		3rd	1st	3rd	2nd	2nd	9	783	1	2
22	Chicago JW		1st	2nd	3rd	1st	4th	9	780	2	1
23	Stanford TY	Novice	2nd	2nd	2nd	2nd	3rd	9	774	0	4
24	UWODS I can&#x27;t convert to miles officer		2nd	2nd	1st	3rd	3rd	9	770	1	2
25	Drexel Dragon Tales		3rd	1st	4th	1st	2nd	9	769	2	1
26	USC DL		2nd	2nd	3rd	2nd	2nd	9	766	0	4
27	Hybrid do you know how loud 5 men a		1st	3rd	2nd	4th	1st	9	762	2	1
28	UW BC		1st	3rd	4th	2nd	1st	9	757	2	1
29	IND Strong, Secure and Engaged		1st	3rd	3rd	1st	3rd	9	755	2	0
30	IND Phi Epsilon Nu Iota Sigma	Novice	1st	2nd	4th	1st	4th	8	777	2	1
31	QDU the one that went to market		2nd	3rd	1st	3rd	3rd	8	777	1	1
32	MDU the unrizzable speak		1st	4th	2nd	4th	1st	8	769	2	1
33	IND Vasuvia Missionaries		1st	2nd	4th	1st	4th	8	768	2	1
34	Rochester IL		3rd	3rd	1st	3rd	2nd	8	762	1	1
35	MDU Mercedes-Benz	Novice	3rd	1st	3rd	4th	1st	8	757	2	0
36	Guelph Tab Toppers	Novice	4th	1st	3rd	3rd	1st	8	755	2	0
37	Cornell AS	Novice	2nd	2nd	4th	3rd	1st	8	755	1	2
38	Chicago Adam&#x27;s Apple	Novice	2nd	3rd	3rd	1st	3rd	8	755	1	1
39	Colgate DM		2nd	3rd	3rd	1st	3rd	8	753	1	1
40	UBC NW		1st	3rd	1st	3rd	4th	8	752	2	0
41	UBC Team Barbie		4th	1st	3rd	2nd	2nd	8	751	1	2
42	Carleton SR		3rd	2nd	2nd	4th	1st	8	745	1	2
43	Windsor UF	Novice	3rd	4th	1st	2nd	2nd	8	742	1	2
44	Cornell GC	Novice	2nd	4th	2nd	1st	4th	7	760	1	2
45	UBC Verba Invicta	Novice	2nd	3rd	4th	1st	3rd	7	755	1	1
46	Princeton C	Novice	4th	3rd	3rd	1st	2nd	7	754	1	1
47=	McMaster JZ	Novice	3rd	4th	2nd	3rd	1st	7	752	1	1
47=	Princeton B		3rd	2nd	1st	4th	3rd	7	752	1	1
49	Mood Swing		4th	1st	1st	3rd	4th	7	750	2	0
50	QDU RV	Novice	3rd	2nd	4th	2nd	2nd	7	748	0	3
51=	UWODS 5 cents of gas		4th	3rd	1st	3rd	2nd	7	745	1	1
51=	Windsor NS	Novice	3rd	2nd	4th	1st	3rd	7	745	1	1
53	UW ZM		4th	2nd	1st	2nd	4th	7	739	1	2
54	Colgate MW		1st	4th	3rd	3rd	2nd	7	739	1	1
55	UWODS stranded in Kingston	Novice	4th	3rd	3rd	2nd	1st	7	735	1	1
56	IND no but i&#x27;m actually retiring fr th		1st	4th	2nd	4th	3rd	6	764	1	1
57	UW Rhetorical Roundabouts	Novice	2nd	1st	4th	4th	3rd	6	751	1	1
58	UW BlackPink		3rd	4th	4th	1st	2nd	6	742	1	1
59	IND Parapropalaeohoplophorus with an i		3rd	3rd	4th	3rd	1st	6	742	1	0
60	Middlebury SW	Novice	4th	4th	1st	1st	4th	6	738	2	0
61	UBC OW		3rd	4th	1st	4th	2nd	6	735	1	1
62	EDS lightning thieves	Novice	4th	2nd	2nd	2nd	4th	6	735	0	3
63	Middlebury HS 2	Novice	3rd	3rd	1st	3rd	4th	6	734	1	0
64	UWODS is this a curb?	Novice	2nd	4th	3rd	4th	1st	6	732	1	1
