Rk	team	categories	R1	R2	R3	R4	R5	R6	Pts	Spk	1sts	2nds
1	Princeton LW		1st	1st	2nd	1st	1st	2nd	16	984	4	2
2	MDU PR		1st	2nd	1st	1st	2nd	1st	16	977	4	2
3	UChicago KL		1st	1st	4th	2nd	1st	1st	14	966	4	1
4	Yale HK		1st	1st	2nd	3rd	1st	3rd	13	956	3	1
5	MDU NZ		1st	4th	2nd	1st	2nd	1st	13	948	3	2
6	Yale NS		1st	2nd	1st	2nd	3rd	3rd	12	978	2	2
7	UChicago KN		2nd	1st	2nd	1st	4th	2nd	12	963	2	3
8	UWODS CL		1st	3rd	2nd	1st	4th	1st	12	958	3	1
9	Harvard HT		2nd	2nd	1st	2nd	4th	1st	12	956	2	3
10	Bates HM		1st	1st	1st	4th	3rd	2nd	12	947	3	1
11	UAlberta BJ		2nd	1st	3rd	2nd	3rd	1st	12	946	2	2
12	Hart House YY		1st	3rd	2nd	4th	1st	1st	12	943	3	1
13	Swing 1		—	1st	1st	1st	1st	—	12	645	4	0
14	JHU MY		4th	1st	1st	1st	2nd	4th	11	954	3	1
15	HWS KK		1st	2nd	4th	1st	2nd	3rd	11	953	2	2
16	Princeton HW		1st	1st	4th	3rd	1st	3rd	11	947	3	0
17	Princeton ML		1st	2nd	3rd	2nd	3rd	2nd	11	945	1	3
18	Harvard QR		1st	2nd	2nd	3rd	1st	4th	11	943	2	2
19	Harvard LR		2nd	2nd	1st	3rd	4th	1st	11	941	2	2
20	Princeton MJ		1st	3rd	1st	4th	2nd	2nd	11	940	2	2
21	Dartmouth BC	Novice	4th	1st	1st	4th	1st	2nd	11	931	3	1
22	Hart House EM		3rd	3rd	2nd	2nd	1st	2nd	11	930	1	3
23	UCLA CH	Novice	3rd	1st	3rd	3rd	2nd	1st	11	929	2	1
24	Harvard HS		2nd	1st	3rd	2nd	3rd	3rd	10	948	1	2
25	Duke CM		2nd	3rd	3rd	1st	1st	4th	10	945	2	1
26	Princeton GI		1st	3rd	3rd	2nd	1st	4th	10	939	2	1
27	GWU PM		2nd	2nd	3rd	2nd	2nd	3rd	10	938	0	4
28	UWODS LZ	Novice	2nd	2nd	4th	1st	3rd	2nd	10	934	1	3
29	Northeastern AS		2nd	3rd	2nd	2nd	4th	1st	10	930	1	3
30	UWODS SU		2nd	3rd	1st	4th	3rd	1st	10	927	2	1
31	Williams IL	Novice	3rd	1st	4th	3rd	2nd	1st	10	926	2	1
32	Yale AT	Novice	4th	1st	2nd	4th	1st	2nd	10	915	2	2
33	Oxford RW		3rd	3rd	1st	1st	2nd	—	10	775	2	1
34	TEC GV		2nd	3rd	3rd	1st	4th	2nd	9	930	1	2
35	Harvard KY		2nd	1st	3rd	3rd	4th	2nd	9	923	1	2
