Rk	break	team	Pts	Spk	1sts	2nds
1	1	Dartmouth LW	15	983.00	4	1
2	2	Stanford SZ	15	975.00	3	3
3	3	Cornell KP	15	970.00	4	1
4	4	Chicago KL	13	966.00	3	1
5	5	Yale HK	13	965.00	3	2
6	6	Yale SN	13	963.00	2	3
7	7	Harvard HW	13	955.00	3	2
8	8	Harvard GS	13	952.00	3	2
9	9	Harvard BL	13	942.00	4	0
10	10	MDU SN	12	966.00	3	1
11	11	HH SY	12	964.00	3	0
12	12	JHU GY	12	953.00	2	2
13	13	UADS BK	12	951.00	3	1
14	14	Stanford MQ	12	943.00	3	1
15	15	Harvard AS	12	937.00	2	2
16	16	QDU AW	11	959.00	3	1
