Rk	break	team	Pts	Spk	1sts	2nds
1	(different break)	Harvard GS	13	952.00	3	2
2	(different break)	Harvard BL	13	942.00	4	0
3	1	Stanford CL	11	940.00	2	2
4	2	UCLA PP	11	895.00	2	1
5	3	HH ZZ	10	933.00	2	2
6	4	QDU CM	10	932.00	2	1
7	5	Bates TT	10	928.00	2	1
8	6	USC LJ	10	925.00	3	0
9	7	UCLA GV	10	903.00	2	2
10	8	Columbia TZ	9	935.00	0	4
