team	result	side	adjudicators
HUJI cAll to order	eliminated	Opening Government	Comfort AyelomiⒸ , Henry Kofi , Olayinka Olamide Esther , Pascal Blaise Obeng , Umuhairu
Mandela meets Nkrumah	eliminated	Opening Opposition	Comfort AyelomiⒸ , Henry Kofi , Olayinka Olamide Esther , Pascal Blaise Obeng , Umuhairu
Akofena Reunion	eliminated	Closing Government	Comfort AyelomiⒸ , Henry Kofi , Olayinka Olamide Esther , Pascal Blaise Obeng , Umuhairu
We bet you didn&#x27;t expect this one	advancing	Closing Opposition	Comfort AyelomiⒸ , Henry Kofi , Olayinka Olamide Esther , Pascal Blaise Obeng , Umuhairu
