team	result	side	adjudicators
UCD Illiterate &amp; Unlawful Society	3rd	Opening Government	Matt CaitoⒸ , Kaushiki Ishwar
Less stoicism motions than Astana 2	2nd	Opening Opposition	Matt CaitoⒸ , Kaushiki Ishwar
Almaty 2023	4th	Closing Government	Matt CaitoⒸ , Kaushiki Ishwar
TCD Hist PW	1st	Closing Opposition	Matt CaitoⒸ , Kaushiki Ishwar
Queen card	4th	Closing Government	Ilija IvaniševićⒸ , Mischa Watson , Tom Milling
What Happened to St Andrews’s Money	2nd	Closing Opposition	Ilija IvaniševićⒸ , Mischa Watson , Tom Milling
NU S	1st	Opening Opposition	Ilija IvaniševićⒸ , Mischa Watson , Tom Milling
Waiting for our PM (literally)	3rd	Opening Government	Ilija IvaniševićⒸ , Mischa Watson , Tom Milling
Edinburgh Na(B) and Nav	2nd	Opening Government	Dylan McCarthyⒸ , Sehaj Reen , Jay GarshongⓉ
Jebiga, nema inspiracije	1st	Opening Opposition	Dylan McCarthyⒸ , Sehaj Reen , Jay GarshongⓉ
LSE C	3rd	Closing Government	Dylan McCarthyⒸ , Sehaj Reen , Jay GarshongⓉ
Technion A	4th	Closing Opposition	Dylan McCarthyⒸ , Sehaj Reen , Jay GarshongⓉ
struggling in offlane	3rd	Opening Government	Adya SharmaⒸ , Brynley Hamer
Stockholm School Of Economics A	1st	Opening Opposition	Adya SharmaⒸ , Brynley Hamer
girls in red	4th	Closing Government	Adya SharmaⒸ , Brynley Hamer
MNU	2nd	Closing Opposition	Adya SharmaⒸ , Brynley Hamer
TESB A	3rd	Opening Government	Lucy McManusⒸ , Austin Kelachukwu , Vrinda Kudsia
White eagle	4th	Opening Opposition	Lucy McManusⒸ , Austin Kelachukwu , Vrinda Kudsia
Weizmann N&amp;M	2nd	Closing Government	Lucy McManusⒸ , Austin Kelachukwu , Vrinda Kudsia
etc. etc.	1st	Closing Opposition	Lucy McManusⒸ , Austin Kelachukwu , Vrinda Kudsia
eating brie in front of an open fri	4th	Opening Government	Heather AshworthⒸ , Daan Spackler , Dominic Stanley-Marcus
Technion N&amp;N	1st	Opening Opposition	Heather AshworthⒸ , Daan Spackler , Dominic Stanley-Marcus
Present Simple	3rd	Closing Government	Heather AshworthⒸ , Daan Spackler , Dominic Stanley-Marcus
ATHENS A	2nd	Closing Opposition	Heather AshworthⒸ , Daan Spackler , Dominic Stanley-Marcus
TCD Hist Rehan and Ziyad	1st	Closing Opposition	Alexander FraserⒸ , Mukhtar Tashkenbayev , Sudiksha Aggarwal
TCD Hist Tom &amp; Molly	2nd	Opening Government	Jeremiah EdagbamiⒸ , Ayafa Tonye , Nina McCartney
I&#x27;m sick of judging so decided to d	3rd	Opening Opposition	Jeremiah EdagbamiⒸ , Ayafa Tonye , Nina McCartney
Sponsor us, merci	4th	Closing Government	Jeremiah EdagbamiⒸ , Ayafa Tonye , Nina McCartney
GUU m(A)ster of your domain	1st	Closing Opposition	Jeremiah EdagbamiⒸ , Ayafa Tonye , Nina McCartney
Bucharest A	2nd	Opening Government	Alex McCreadieⒸ , Pratham Dikshit
Zagreb PT	1st	Opening Opposition	Alex McCreadieⒸ , Pratham Dikshit
Meow meow - Pawrya and Purrina	4th	Closing Government	Alex McCreadieⒸ , Pratham Dikshit
Oxford (B)arbie Boy and Oppenheimer	3rd	Closing Opposition	Alex McCreadieⒸ , Pratham Dikshit
