team	result	side	adjudicators
I&#x27;m sick of judging so decided to d	3rd	Opening Government	Matt CaitoⒸ , Esther Olamide , Vrinda Kudsia
Almaty 2023	2nd	Opening Opposition	Matt CaitoⒸ , Esther Olamide , Vrinda Kudsia
Joker and Jokerfied	1st	Closing Government	Matt CaitoⒸ , Esther Olamide , Vrinda Kudsia
Technion N&amp;N	4th	Closing Opposition	Matt CaitoⒸ , Esther Olamide , Vrinda Kudsia
eating brie in front of an open fri	2nd	Opening Opposition	Ilija IvaniševićⒸ , Kaushiki Ishwar , Mostafizur Rahman Fahim
Tea	4th	Closing Government	Ilija IvaniševićⒸ , Kaushiki Ishwar , Mostafizur Rahman Fahim
Waiting for our PM (literally)	3rd	Closing Opposition	Ilija IvaniševićⒸ , Kaushiki Ishwar , Mostafizur Rahman Fahim
MNU	3rd	Opening Opposition	Alastair BowyerⒸ , Dhruv Hariharan , Nina McCartney
girls in red	4th	Closing Government	Alastair BowyerⒸ , Dhruv Hariharan , Nina McCartney
Queen card	1st	Closing Opposition	Alastair BowyerⒸ , Dhruv Hariharan , Nina McCartney
LSE C	1st	Opening Government	Ilija IvaniševićⒸ , Kaushiki Ishwar , Mostafizur Rahman Fahim
GUU Bubble Boy	3rd	Opening Opposition	Lucy McManusⒸ , Gerson Oviedo Soto
TCD Hist Tom &amp; Molly	2nd	Closing Government	Lucy McManusⒸ , Gerson Oviedo Soto
McDonald and the Newman	1st	Closing Opposition	Lucy McManusⒸ , Gerson Oviedo Soto
OSCA A	1st	Opening Government	Heather AshworthⒸ , Sehaj Reen
Sponsor us, merci	2nd	Opening Opposition	Heather AshworthⒸ , Sehaj Reen
ATHENS A	3rd	Closing Government	Heather AshworthⒸ , Sehaj Reen
Bucharest B	4th	Closing Opposition	Heather AshworthⒸ , Sehaj Reen
Trophy Wives	2nd	Opening Government	Alastair BowyerⒸ , Dhruv Hariharan , Nina McCartney
etc. etc.	4th	Opening Government	Lucy McManusⒸ , Gerson Oviedo Soto
Jebiga, nema inspiracije	1st	Opening Government	Alexander FraserⒸ , Heidi Silvennoinen , Tom Milling
Clout chasers	4th	Opening Opposition	Alexander FraserⒸ , Heidi Silvennoinen , Tom Milling
DTU A(Amar naam Tomar Naam Badnaam)	3rd	Closing Government	Alexander FraserⒸ , Heidi Silvennoinen , Tom Milling
building buildings	2nd	Closing Opposition	Alexander FraserⒸ , Heidi Silvennoinen , Tom Milling
I don&#x27;t mean anything, bro, I just	1st	Opening Government	Alex McCreadieⒸ , Guyberli van Thuijl , Theo Dorfner
Ukelele Apologists	2nd	Opening Opposition	Alex McCreadieⒸ , Guyberli van Thuijl , Theo Dorfner
Nothing to say	4th	Closing Government	Alex McCreadieⒸ , Guyberli van Thuijl , Theo Dorfner
Weizmann N&amp;M	3rd	Closing Opposition	Alex McCreadieⒸ , Guyberli van Thuijl , Theo Dorfner
TCD Hist Rehan and Ziyad	4th	Opening Government	Uphie AbdurrahmanⒸ , Ayafa Tonye , Jay GarshongⓉ
Meow meow - Pawrya and Purrina	1st	Opening Opposition	Uphie AbdurrahmanⒸ , Ayafa Tonye , Jay GarshongⓉ
UCD Illiterate &amp; Unlawful Society	2nd	Closing Government	Uphie AbdurrahmanⒸ , Ayafa Tonye , Jay GarshongⓉ
St Andrews Malcolm&#x27;s (A)ngels	3rd	Closing Opposition	Uphie AbdurrahmanⒸ , Ayafa Tonye , Jay GarshongⓉ
4 reasons why wont cut it	1st	Opening Government	Terkpertey Andrews TerkuⒸ , Daan Spackler , Eli Ferrell
Technion A	3rd	Opening Opposition	Terkpertey Andrews TerkuⒸ , Daan Spackler , Eli Ferrell
Williams College A	4th	Closing Government	Terkpertey Andrews TerkuⒸ , Daan Spackler , Eli Ferrell
HUJI Who	2nd	Closing Opposition	Terkpertey Andrews TerkuⒸ , Daan Spackler , Eli Ferrell
Oxford (B)arbie Boy and Oppenheimer	2nd	Opening Opposition	Dylan McCarthyⒸ , Adya Mishra , Brynley Hamer
TCD Hist PW	2nd	Closing Government	Ryosei KobayashiⒸ , Joep van Heugten , Sudiksha Aggarwal
Bucharest A	1st	Closing Opposition	Ryosei KobayashiⒸ , Joep van Heugten , Sudiksha Aggarwal
Barbies with existencial crisis	2nd	Closing Government	Jeremiah EdagbamiⒸ , Mischa Watson , Salleh Nidzam
struggling in offlane	4th	Closing Opposition	Jeremiah EdagbamiⒸ , Mischa Watson , Salleh Nidzam
NTU	3rd	Opening Government	Ryosei KobayashiⒸ , Joep van Heugten , Sudiksha Aggarwal
epistemic ass shit	4th	Opening Opposition	Ryosei KobayashiⒸ , Joep van Heugten , Sudiksha Aggarwal
Integrated rebbutal	3rd	Opening Government	Olja BošnjakⒸ , Mukhtar Tashkenbayev , Pratham Dikshit
Edinburgh Na(B) and Nav	2nd	Opening Opposition	Olja BošnjakⒸ , Mukhtar Tashkenbayev , Pratham Dikshit
UFD India	1st	Closing Government	Olja BošnjakⒸ , Mukhtar Tashkenbayev , Pratham Dikshit
LSE D	4th	Closing Opposition	Olja BošnjakⒸ , Mukhtar Tashkenbayev , Pratham Dikshit
Swing A	4th	Opening Government	Alishba IrfanⒸ , Austin Kelachukwu
just preppin’ here	2nd	Opening Opposition	Alishba IrfanⒸ , Austin Kelachukwu
TESB A	1st	Closing Government	Alishba IrfanⒸ , Austin Kelachukwu
Stockholm School Of Economics A	3rd	Closing Opposition	Alishba IrfanⒸ , Austin Kelachukwu
Less stoicism motions than Astana 2	3rd	Opening Government	Dylan McCarthyⒸ , Adya Mishra , Brynley Hamer
