team	result	side	adjudicators
I&#x27;m sick of judging so decided to d	3rd	Opening Opposition	Alex McCreadieⒸ , Esther Olamide , Sehaj Reen
TCD Hist Rehan and Ziyad	2nd	Closing Government	Alex McCreadieⒸ , Esther Olamide , Sehaj Reen
UFD India	4th	Closing Opposition	Alex McCreadieⒸ , Esther Olamide , Sehaj Reen
MNU	3rd	Opening Government	Terkpertey Andrews TerkuⒸ , Kaushiki Ishwar
DTU A(Amar naam Tomar Naam Badnaam)	2nd	Opening Opposition	Terkpertey Andrews TerkuⒸ , Kaushiki Ishwar
GUU Bubble Boy	1st	Closing Government	Terkpertey Andrews TerkuⒸ , Kaushiki Ishwar
Swing A	4th	Closing Opposition	Terkpertey Andrews TerkuⒸ , Kaushiki Ishwar
Sponsor us, merci	1st	Opening Government	Ryosei KobayashiⒸ , Mischa Watson
LSE C	2nd	Opening Opposition	Ryosei KobayashiⒸ , Mischa Watson
Trophy Wives	3rd	Closing Government	Ryosei KobayashiⒸ , Mischa Watson
TESB A	4th	Closing Opposition	Ryosei KobayashiⒸ , Mischa Watson
HUJI Who	3rd	Opening Government	Ilija IvaniševićⒸ , Austin Kelachukwu , Heidi Silvennoinen
The best burek in the world is in S	4th	Opening Opposition	Ilija IvaniševićⒸ , Austin Kelachukwu , Heidi Silvennoinen
Zagreb PT	1st	Closing Government	Ilija IvaniševićⒸ , Austin Kelachukwu , Heidi Silvennoinen
girls in red	4th	Opening Opposition	Matt CaitoⒸ , Eli Ferrell , Salleh Nidzam
NU S	1st	Closing Government	Matt CaitoⒸ , Eli Ferrell , Salleh Nidzam
Integrated rebbutal	2nd	Closing Opposition	Matt CaitoⒸ , Eli Ferrell , Salleh Nidzam
Ryan and Tejas	1st	Opening Government	Alex McCreadieⒸ , Esther Olamide , Sehaj Reen
TCD Hist PW	2nd	Closing Opposition	Ilija IvaniševićⒸ , Austin Kelachukwu , Heidi Silvennoinen
Sunway did someone say im cute	1st	Opening Opposition	Heather AshworthⒸ , Dhruv Hariharan , Prosper Michael Ametu
White eagle	3rd	Closing Government	Heather AshworthⒸ , Dhruv Hariharan , Prosper Michael Ametu
Nothing to say	2nd	Closing Opposition	Heather AshworthⒸ , Dhruv Hariharan , Prosper Michael Ametu
Meow meow - Pawrya and Purrina	2nd	Opening Government	Alexander FraserⒸ , Gerson Oviedo Soto
LSE D	2nd	Opening Government	Dylan McCarthyⒸ , Dominic Stanley-Marcus , Tom Milling
Williams College A	1st	Opening Opposition	Dylan McCarthyⒸ , Dominic Stanley-Marcus , Tom Milling
Ukelele Apologists	3rd	Closing Government	Dylan McCarthyⒸ , Dominic Stanley-Marcus , Tom Milling
Present Simple	4th	Closing Opposition	Dylan McCarthyⒸ , Dominic Stanley-Marcus , Tom Milling
Weizmann N&amp;M	3rd	Opening Government	Matt CaitoⒸ , Eli Ferrell , Salleh Nidzam
Stockholm School Of Economics A	4th	Opening Government	Heather AshworthⒸ , Dhruv Hariharan , Prosper Michael Ametu
McDonald and the Newman	4th	Opening Opposition	Alexander FraserⒸ , Gerson Oviedo Soto
Oxford (B)arbie Boy and Oppenheimer	1st	Closing Government	Alexander FraserⒸ , Gerson Oviedo Soto
4 reasons why wont cut it	3rd	Closing Opposition	Alexander FraserⒸ , Gerson Oviedo Soto
Barbies with existencial crisis	3rd	Opening Government	Anna SawickaⒸ , Adya Mishra
Bucharest B	1st	Opening Opposition	Anna SawickaⒸ , Adya Mishra
eating brie in front of an open fri	2nd	Closing Government	Anna SawickaⒸ , Adya Mishra
just preppin’ here	4th	Closing Opposition	Anna SawickaⒸ , Adya Mishra
ATHENS A	3rd	Opening Government	Sudiksha AggarwalⒸ , Daan Spackler , Mostafizur Rahman Fahim
Waiting for our PM (literally)	4th	Opening Opposition	Alastair BowyerⒸ , Mukhtar Tashkenbayev , Jay GarshongⓉ
NTU	1st	Closing Government	Alastair BowyerⒸ , Mukhtar Tashkenbayev , Jay GarshongⓉ
TCD Hist Tom &amp; Molly	3rd	Closing Opposition	Alastair BowyerⒸ , Mukhtar Tashkenbayev , Jay GarshongⓉ
Technion N&amp;N	2nd	Opening Government	Alastair BowyerⒸ , Mukhtar Tashkenbayev , Jay GarshongⓉ
Tea	3rd	Opening Government	Alishba IrfanⒸ , Guyberli van Thuijl , Pratham Dikshit
OSCA A	2nd	Opening Opposition	Alishba IrfanⒸ , Guyberli van Thuijl , Pratham Dikshit
struggling in offlane	4th	Closing Government	Alishba IrfanⒸ , Guyberli van Thuijl , Pratham Dikshit
Almaty 2023	1st	Closing Opposition	Alishba IrfanⒸ , Guyberli van Thuijl , Pratham Dikshit
Edinburgh Na(B) and Nav	2nd	Opening Government	Adya SharmaⒸ , Joep van Heugten , Tristan Luu
Queen card	4th	Opening Opposition	Adya SharmaⒸ , Joep van Heugten , Tristan Luu
so many barrels in these surnames, 	1st	Closing Government	Adya SharmaⒸ , Joep van Heugten , Tristan Luu
I don&#x27;t mean anything, bro, I just	3rd	Closing Opposition	Adya SharmaⒸ , Joep van Heugten , Tristan Luu
St Andrews Malcolm&#x27;s (A)ngels	1st	Opening Opposition	Sudiksha AggarwalⒸ , Daan Spackler , Mostafizur Rahman Fahim
Jebiga, nema inspiracije	4th	Closing Government	Sudiksha AggarwalⒸ , Daan Spackler , Mostafizur Rahman Fahim
Joker and Jokerfied	2nd	Closing Opposition	Sudiksha AggarwalⒸ , Daan Spackler , Mostafizur Rahman Fahim
GUU m(A)ster of your domain	3rd	Opening Government	Olja BošnjakⒸ , Brynley Hamer , Theo Dorfner
UCD Illiterate &amp; Unlawful Society	2nd	Opening Opposition	Olja BošnjakⒸ , Brynley Hamer , Theo Dorfner
GUU Resurrectile Dysfunction	4th	Closing Government	Olja BošnjakⒸ , Brynley Hamer , Theo Dorfner
Less stoicism motions than Astana 2	1st	Closing Opposition	Olja BošnjakⒸ , Brynley Hamer , Theo Dorfner
building buildings	4th	Opening Government	Jeremiah EdagbamiⒸ , Nina McCartney , Vrinda Kudsia
etc. etc.	3rd	Opening Opposition	Jeremiah EdagbamiⒸ , Nina McCartney , Vrinda Kudsia
epistemic ass shit	1st	Closing Government	Jeremiah EdagbamiⒸ , Nina McCartney , Vrinda Kudsia
bea so good at debate bad at team n	2nd	Closing Opposition	Jeremiah EdagbamiⒸ , Nina McCartney , Vrinda Kudsia
Technion A	2nd	Opening Government	Ayafa TonyeⒸ , Martha McKinney-Perry , Yit Xiang
Bucharest A	1st	Opening Opposition	Ayafa TonyeⒸ , Martha McKinney-Perry , Yit Xiang
What Happened to St Andrews’s Money	3rd	Closing Government	Ayafa TonyeⒸ , Martha McKinney-Perry , Yit Xiang
Clout chasers	4th	Closing Opposition	Ayafa TonyeⒸ , Martha McKinney-Perry , Yit Xiang
