Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	DSS	1sts	2nds
28	ETH Zurich AS		1st	3rd	2nd	2nd	2nd	10	780	11642.00	1	3
29	Fudan A	ESL	1st	3rd	4th	1st	1st	10	779	11598.00	3	0
30	Open MR	ESL	—	3rd	1st	1st	1st	10	632	8729.00	3	0
31	Oxford C(lutch szn)		1st	1st	2nd	3rd	4th	9	798	11522.00	2	1
32	Open HM		1st	3rd	4th	2nd	1st	9	794	11619.00	2	1
33	Copenhagen PS	ESL	4th	1st	2nd	1st	3rd	9	794	11084.00	2	1
34	Prinkston		1st	3rd	4th	1st	2nd	9	793	11685.00	2	1
35	Open GF	ESL	1st	1st	3rd	4th	2nd	9	791	11730.00	2	1
36	Chicago CP		2nd	1st	3rd	2nd	3rd	9	791	11304.00	1	2
37	Open Absorbent, Yellow, and Porous		1st	1st	2nd	4th	3rd	9	790	11848.00	2	1
38	Columbia CM		2nd	2nd	2nd	3rd	2nd	9	788	11618.00	0	4
39	UPenn Springfield Immigrants		2nd	2nd	1st	2nd	4th	9	785	11704.00	1	3
40	Columbia A		3rd	2nd	1st	4th	1st	9	783	11205.00	2	1
41	NTU BT		3rd	3rd	1st	3rd	1st	9	782	11300.00	2	0
42	Addiction help needed		4th	1st	3rd	2nd	1st	9	781	11375.00	2	1
43	Oxford The Couch	ESL	1st	2nd	4th	2nd	2nd	9	780	11694.00	1	3
44	SRCC KN	ESL	2nd	3rd	3rd	1st	2nd	9	778	11583.00	1	2
45	GoD AK	ESL	3rd	2nd	2nd	3rd	1st	9	763	11391.00	1	2
46	Harvard Humwat		2nd	2nd	3rd	1st	4th	8	792	11680.00	1	2
47	KCL CS		1st	2nd	1st	4th	4th	8	790	11813.00	2	1
48	Ted owns his shit	ESL	1st	1st	3rd	3rd	4th	8	785	11748.00	2	0
49	UFD A	ESL	2nd	1st	4th	2nd	3rd	8	785	11494.00	1	2
50	HWS A		1st	1st	4th	3rd	3rd	8	782	11788.00	2	0
51	Harvard GS		2nd	1st	4th	1st	4th	8	782	11702.00	2	1
52	PUCP OR	ESL	2nd	3rd	2nd	2nd	3rd	8	781	11524.00	0	3
53	Pompeu Fabra BG	ESL	2nd	4th	3rd	1st	2nd	8	780	11530.00	1	2
54	Open LI	ESL	2nd	2nd	2nd	3rd	3rd	8	777	11418.00	0	3
55	MDU AS		2nd	4th	3rd	2nd	1st	8	776	11012.00	1	2
56	Open AC		2nd	3rd	4th	1st	2nd	8	775	11528.00	1	2
57	HH MZ		3rd	3rd	3rd	1st	2nd	8	775	11101.00	1	1
58	Rochester NL		1st	4th	4th	1st	2nd	8	773	10923.00	2	1
59	NSU A	ESL	3rd	1st	4th	1st	3rd	8	772	11537.00	2	0
60	Open GM		1st	4th	3rd	3rd	1st	8	769	11442.00	2	0
61	UFMG FV	ESL	2nd	2nd	3rd	4th	1st	8	767	11534.00	1	2
62	Duke RY		4th	1st	2nd	4th	1st	8	762	10884.00	2	1
63	Brown HN		3rd	1st	1st	4th	4th	7	783	11098.00	2	0
64	Cornell KZ		2nd	2nd	1st	4th	4th	7	780	11695.00	1	2
65	NU BZ	ESL	2nd	3rd	2nd	3rd	3rd	7	776	10601.00	0	2
66	NTU BL		1st	3rd	3rd	4th	2nd	7	775	11655.00	1	1
67	LUMS KT	ESL	3rd	2nd	1st	4th	3rd	7	774	11311.00	1	1
68	IUT KA	ESL	2nd	2nd	4th	2nd	3rd	7	771	11380.00	0	3
69	Cornell GL		1st	4th	2nd	3rd	3rd	7	771	11173.00	1	1
70	Chicago MP		1st	3rd	1st	4th	4th	7	770	11222.00	2	0
71	Open MT	ESL	3rd	2nd	3rd	3rd	2nd	7	769	11424.00	0	2
72	UWODS LU		1st	4th	2nd	2nd	4th	7	767	11469.00	1	2
73	IIT Bombay CK	ESL	3rd	2nd	4th	3rd	1st	7	765	10724.00	1	1
74	HH AS		2nd	4th	2nd	1st	4th	7	764	11300.00	1	2
75	Khalsa SV	ESL	4th	1st	3rd	3rd	2nd	7	764	11269.00	1	1
76	Georgia Tech Willage Warriors		4th	1st	1st	4th	3rd	7	763	11311.00	2	0
77	Warsaw HI	ESL	2nd	3rd	4th	2nd	2nd	7	762	11574.00	0	3
78	Chicago HS		3rd	3rd	4th	2nd	1st	7	759	10925.00	1	1
79	EDS C		4th	4th	1st	3rd	1st	7	758	11132.00	2	0
80	UNIMET GR	ESL	3rd	4th	2nd	2nd	2nd	7	755	11349.00	0	3
81	HWS Danny’s Disciples		4th	4th	1st	3rd	1st	7	746	11053.00	2	0
82	Wisconsin HN		2nd	2nd	2nd	4th	4th	6	779	11467.00	0	3
83	TEC CEM Taco Bell version	ESL	3rd	3rd	2nd	2nd	4th	6	771	11613.00	0	2
84	WUDU 1		1st	4th	4th	3rd	2nd	6	771	11524.00	1	1
85	Columbia BF		2nd	4th	4th	3rd	1st	6	768	10908.00	1	1
86	Open AZ	ESL	2nd	3rd	3rd	2nd	4th	6	764	10635.00	0	2
87	BAC UM we will be BAC	ESL	4th	2nd	4th	1st	3rd	6	764	10502.00	1	1
88	Rosario D	ESL	3rd	4th	4th	1st	2nd	6	761	11199.00	1	1
89	Clemson AF		4th	2nd	2nd	4th	2nd	6	760	11457.00	0	3
90	PUCP EN	ESL	3rd	1st	3rd	4th	3rd	6	759	11511.00	1	0
91	UFSC OR	ESL	2nd	3rd	4th	4th	1st	6	759	11504.00	1	1
92	UIUC GX		3rd	3rd	3rd	4th	1st	6	759	11258.00	1	0
93	EDS ex-novs debating at a novice level		4th	3rd	1st	3rd	3rd	6	759	11123.00	1	0
94	UPenn viha left me		3rd	4th	2nd	1st	4th	6	757	10481.00	1	1
95	Rosario D-UCV	ESL	4th	3rd	2nd	2nd	3rd	6	755	11332.00	0	2
96	MDU LT		4th	2nd	1st	3rd	4th	6	751	11503.00	1	1
97	WUDU 2		2nd	4th	1st	4th	3rd	6	751	10958.00	1	1
98	Rosario Extrañamos a Juanita	ESL	4th	1st	3rd	4th	2nd	6	749	10790.00	1	1
99	Delhi radical marxist feminists	ESL	2nd	1st	4th	3rd	—	6	608	9279.00	1	1
100	Open DG		2nd	3rd	1st	—	—	6	472	6969.00	1	1
101	BAC no spec all logic	ESL	3rd	2nd	4th	3rd	3rd	5	764	11542.00	0	1
102	UA&amp;P Ted &amp; Lily	ESL	4th	2nd	4th	2nd	3rd	5	764	11172.00	0	2
103	MDU 0.1m2 galvanised square steel		2nd	4th	1st	4th	4th	5	763	11243.00	1	1
104	Wisconsin GP		4th	1st	4th	2nd	4th	5	755	11510.00	1	1
105	Wisconsin CT		3rd	4th	4th	1st	3rd	5	753	10666.00	1	0
106	HWS RC		3rd	1st	4th	3rd	4th	5	750	10898.00	1	0
107	WUDU 3		4th	2nd	4th	3rd	2nd	5	748	11101.00	0	2
108	Fordham Rams EV		4th	2nd	2nd	4th	3rd	5	731	11003.00	0	2
109	Calgary Bitorko Onushilon	ESL	2nd	4th	—	1st	4th	5	609	8232.00	1	1
110	DAV LA	ESL	3rd	4th	2nd	—	2nd	5	608	9175.00	0	2
111	Denison - Olympia Schools Chester	ESL	—	3rd	3rd	1st	4th	5	606	8761.00	1	0
112	Harvard AD		3rd	4th	1st	4th	4th	4	757	11537.00	1	0
113	Clemson ML		3rd	4th	2nd	4th	3rd	4	754	10748.00	0	1
114	RMIT MT	ESL	3rd	4th	4th	2nd	3rd	4	752	10870.00	0	1
115	Colombo HK	ESL	4th	3rd	3rd	4th	2nd	4	750	10207.00	0	1
116	MUST stay up all night	ESL	3rd	3rd	3rd	3rd	4th	4	745	11477.00	0	0
117	Clemson GO		4th	4th	3rd	3rd	2nd	4	742	10832.00	0	1
118	Rosario C	ESL	4th	4th	2nd	2nd	4th	4	742	10820.00	0	2
119	MSU Timella de Vil		4th	3rd	1st	4th	4th	4	741	10931.00	1	0
120	Georgia Tech SR		4th	3rd	4th	4th	1st	4	737	10533.00	1	0
121	HWS RT		4th	3rd	3rd	4th	3rd	3	751	10655.00	0	0
122	HWS BM		4th	2nd	3rd	4th	4th	3	748	11398.00	0	1
123	Clemson HK		4th	3rd	3rd	3rd	4th	3	746	10976.00	0	0
124	MSU Hannahble Esther		4th	4th	3rd	3rd	3rd	3	741	10095.00	0	0
125	USC BF		3rd	2nd	—	—	—	3	309	4195.00	0	1
126	Sciences Po FV	ESL	4th	4th	2nd	4th	4th	2	734	11223.00	0	1
127	CU A	ESL	4th	2nd	4th	—	4th	2	593	8633.00	0	1
128	Georgia Tech Tynado		3rd	3rd	4th	4th	—	2	592	8668.00	0	0
129	GoD JM	ESL	3rd	3rd	—	—	—	2	306	4620.00	0	0
130	Swing 2		4th	—	—	2nd	—	2	299	4596.00	0	1
131	Swing 1		2nd	—	—	4th	—	2	296	4422.00	0	1
132	Swing 3		—	—	—	2nd	—	2	151	2100.00	0	1
133	RMIT DV		4th	4th	4th	4th	—	0	575	8605.00	0	0
134	FTU NT	ESL	4th	4th	4th	—	—	0	442	6395.00	0	0
135	Rick and Morty	ESL	4th	4th	—	—	—	0	294	4553.00	0	0
136=	Georgia Tech BN		—	—	—	—	—	—	—	0	0	0
136=	break or break a leg		—	—	—	—	—	—	—	0	0	0
136=	NSU B	ESL	—	—	—	—	—	—	—	0	0	0
136=	Swing 4		—	—	—	—	—	—	—	0	0	0
136=	Strathmore A	ESL	—	—	—	—	—	—	—	0	0	0
136=	PUCP C	ESL	—	—	—	—	—	—	—	0	0	0
136=	Open OO		—	—	—	—	—	—	—	0	0	0
