Rk	break	team	institution	Pts	Spk	1sts	2nds
1	(different break)	Chee Sy	SMU	8	619.00	1	2
2	(different break)	chicken	HKIS	7	620.00	1	2
3	1	HG A - we overslept	HG	7	619.00	0	3
4	2	UPD Lakers in 5	UPD	7	615.00	0	3
5	3	ADMU krispy chicken nuggets	ADMU	7	610.00	1	1
6	4	Summer Time	—	6	614.00	1	1
