Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	R8	Total	Avg	Stdev
1	Xiao-Ke Lu		Princeton/PDP 1	82	84	84	84	82	82	79	83	660	82.50	1.58
2	Ryan Lafferty		Dartmouth 1	81	86	81	86	78	83	78	82	655	81.88	2.89
3	Jacquelynn Lin		Princeton/PDP 1	81	83	83	83	82	80	79	82	653	81.62	1.41
4	Ram Orfanel	English Second Language	Cornell 1	82	82	79	83	82	84	81	79	652	81.50	1.66
5	Eli Pallrand		Cornell 1	83	83	77	83	82	84	80	76	648	81.00	2.83
6	Matt Mauriello		Harvard 4	77	80	83	81	81	82	81	82	647	80.88	1.69
7	Muzamil Godil		JHU 1	82	80	80	83	77	80	78	84	644	80.50	2.24
8	Jenna Hong		Harvard 1	78	80	79	80	80	82	81	83	643	80.38	1.49
9	Sheryar Fazal		Princeton/PDP 4	79	82	81	77	79	79	82	82	641	80.12	1.76
10	Justin Wu	Novice	JHU 1	81	80	80	81	78	78	78	84	640	80.00	1.94
11	Annushka Agarwal	Novice	Harvard 4	76	79	82	80	81	81	79	81	639	79.88	1.76
12	Stephanie Chen	Novice	Harvard 3	77	82	80	81	82	78	79	79	638	79.75	1.71
13	Hasit Nanda	Novice	UPenn 1	81	82	79	78	79	83	77	78	637	79.62	2.00
14=	Veer Juneja		USC 1	80	79	79	80	78	80	79	81	636	79.50	0.87
14=	Brian Chiang		Dartmouth 1	79	84	79	82	76	81	77	78	636	79.50	2.50
14=	Miles Wang	Novice	Harvard 1	78	79	78	79	79	82	79	82	636	79.50	1.50
17=	Kaustubh Jain		Princeton/PDP 4	78	81	81	77	78	77	81	81	634	79.25	1.79
17=	Ambika Grover	Novice	Harvard 3	76	80	81	80	81	78	78	80	634	79.25	1.64
19=	Catherine Liu		Harvard 2	81	77	78	80	80	80	80	77	633	79.12	1.45
19=	Kristofers Krumins	English Second Language	Columbia 1	79	78	76	80	80	78	80	82	633	79.12	1.69
21	Benjamin Scherzer		Columbia 1	79	77	77	80	80	77	80	82	632	79.00	1.73
22	Marilyn Ben		USC 1	79	78	80	79	78	79	78	80	631	78.88	0.78
23	Daniel Sheremeta		Harvard 5	76	80	79	75	81	83	79	77	630	78.75	2.49
24	Isabel Orlando		Cornell 2	76	77	79	81	78	80	78	80	629	78.62	1.58
25	Maxwell DeLorenzo	Novice	UPenn 1	80	81	78	77	78	80	76	78	628	78.50	1.58
26=	Zach Dyar		Wisconsin 1	82	80	76	76	77	77	78	80	626	78.25	2.05
26=	Abigel Manaye		Cornell 2	76	76	79	80	77	79	78	81	626	78.25	1.71
26=	Rasmee Ky		Harvard 2	80	77	77	78	79	80	79	76	626	78.25	1.39
29	Nir Amin		Harvard 5	77	78	79	76	81	82	80	72	625	78.12	2.98
30	Mukudzeiishe Madzivire	Novice, English Second Language	Columbia 2	80	81	77	80	77	77	76	76	624	78.00	1.87
31	Harshitha Dasari	Novice	USC 2	80	78	78	73	80	78	77	78	622	77.75	2.05
32=	Nadia Chung	Novice	Stanford 3	75	78	76	78	76	79	79	79	620	77.50	1.50
32=	Anna Liu	Novice	USC 2	80	77	77	72	81	79	76	78	620	77.50	2.60
34=	Adrián Cardona Young	Novice	Cornell 6	80	80	73	79	77	76	76	78	619	77.38	2.23
34=	Fairooj Suhita	Novice, English Second Language	HWS 2	80	76	78	77	79	77	74	78	619	77.38	1.73
36=	Katrina Hotaling		TDS 1	75	77	74	79	79	77	80	76	617	77.12	1.96
36=	Emma Blemaster	Novice	Stanford 3	74	78	76	77	77	78	78	79	617	77.12	1.45
36=	Janul De Silva	English Second Language	Princeton/PDP 3	76	76	72	78	80	82	75	78	617	77.12	2.89
39=	Sherissa Wu	Novice	USC 3	80	76	74	78	80	75	77	76	616	77.00	2.06
39=	Justin Zhou	Novice	Berkeley 5	81	79	78	75	76	81	72	74	616	77.00	3.08
39=	Hudson Chou	Novice	HWS 2	79	77	79	78	78	77	71	77	616	77.00	2.40
42=	Ely Altman		Yale 1	74	79	77	77	78	76	78	76	615	76.88	1.45
42=	Dilan Desir	Novice	Stanford 2	76	76	76	81	76	79	76	75	615	76.88	1.90
42=	Aliya Seet	English Second Language	Wisconsin 1	79	77	74	76	76	76	78	79	615	76.88	1.62
42=	Pedro Pontes Garcia	Novice, English Second Language	Cornell 6	78	79	74	79	76	76	75	78	615	76.88	1.76
42=	Ryan Ham	Novice	Berkeley 5	80	79	78	75	77	79	72	75	615	76.88	2.52
47=	Tajvir Singh		UCLA 3	77	80	76	77	75	73	78	78	614	76.75	1.98
47=	Ashley Ka		USC 3	80	76	75	77	79	75	76	76	614	76.75	1.71
47=	Annaliese Simons	Novice	Bard 1	76	78	77	75	79	79	77	73	614	76.75	1.92
47=	Rahul Kalavagunta		Princeton/PDP 2	76	76	77	77	77	77	76	78	614	76.75	0.66
47=	Varun Mandgi		Columbia 2	77	79	76	79	76	77	75	75	614	76.75	1.48
52=	Jack Thompson		UCLA 3	76	80	77	77	76	73	77	77	613	76.62	1.80
52=	Teddy Tawil	Novice	Yale 1	75	79	76	77	77	76	77	76	613	76.62	1.11
