Rk	break	team	Pts	Spk	1sts	2nds
1	(different break)	UPenn 1	27	1265.00	4	2
2	(different break)	Harvard 3	25	1272.00	3	2
3	(different break)	Stanford 3	23	1237.00	3	3
4	(different break)	HWS 2	22	1235.00	2	2
5	1	Berkeley 5	21	1231.00	1	3
6	2	USC 2	20	1242.00	2	2
7	3	Stanford 1	20	1211.00	2	2
8	4	Bard 1	19	1221.00	3	2
9	5	Bates 2	19	1214.00	2	2
10	6	Berkeley 2	18	1213.00	2	1
11	7	Columbia 3	18	1211.00	2	2
12	8	UCLA 2	18	1208.00	1	3
