Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	Pts	Spk	1sts	2nds
66	Wisconsin 2	Novice	4th	4th	3rd	1st	2nd	3rd	4th	1st	11	1184	2	1
67	L&amp;C 3	Novice	4th	3rd	2nd	1st	2nd	4th	4th	4th	11	1178	1	2
68	Duke 2	Novice	3rd	3rd	4th	3rd	2nd	4th	3rd	2nd	11	1167	0	2
69	Colgate 3	Novice	4th	3rd	4th	1st	3rd	2nd	3rd	3rd	10	1178	1	1
70	Cornell 8	Novice	3rd	3rd	3rd	4th	3rd	2nd	4th	4th	10	1160	0	1
71	Hamilton 1		1st	4th	4th	4th	—	—	—	—	9	599	1	0
72	Swinning		—	—	—	—	1st	1st	2nd	—	8	448	2	1
73	Colgate 4	Novice	4th	4th	3rd	2nd	2nd	4th	4th	3rd	7	1107	0	2
74	Cornell 5	Novice	4th	2nd	4th	3rd	4th	3rd	4th	—	6	1011	0	1
75	Cornell 12	Novice	4th	3rd	2nd	4th	—	—	—	—	6	570	0	1
76	Swing Set		—	—	—	—	—	1st	1st	—	6	287	2	0
77	Bates 3	Novice	4th	4th	4th	3rd	3rd	4th	3rd	2nd	5	1137	0	1
78	Bard 2	Novice	4th	4th	4th	4th	4th	3rd	2nd	4th	3	1112	0	1
79	Swing Airport		—	—	—	—	—	2nd	—	—	2	147	0	1
80	Cornell 7	Novice	—	—	—	—	—	—	—	—	—	—	0	0
