team	result	side	adjudicators
Exeter Inferiority complEXE	eliminated	Opening Government	Đorđe RadosavljevićⒸ , Brian Kam , Eli Ferrell , Lucy McManus , Ryosei Kobayashi
St Andrews (-B ± √(B² - 4ac) )/2a	advancing	Opening Opposition	Đorđe RadosavljevićⒸ , Brian Kam , Eli Ferrell , Lucy McManus , Ryosei Kobayashi
Don&#x27;t Cross the Border	eliminated	Closing Government	Đorđe RadosavljevićⒸ , Brian Kam , Eli Ferrell , Lucy McManus , Ryosei Kobayashi
Can&#x27;t top tab when you&#x27;re a bottom	eliminated	Closing Opposition	Đorđe RadosavljevićⒸ , Brian Kam , Eli Ferrell , Lucy McManus , Ryosei Kobayashi
