Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	Irons	DS
60	UChicago A		2nd	1st	3rd	1st	3rd	4th	1st	2nd	3rd	16	1430	3	2	0	429
61	Queensland B		1st	1st	3rd	3rd	1st	3rd	3rd	4th	1st	16	1429	4	0	0	421
62	IITB B	ESL	3rd	1st	2nd	2nd	2nd	1st	4th	3rd	2nd	16	1424	2	4	0	429
63	Melbourne C		1st	1st	4th	3rd	2nd	1st	4th	1st	3rd	16	1422	4	1	0	422
64	Stanford C		2nd	2nd	2nd	4th	2nd	2nd	2nd	1st	3rd	16	1421	1	6	0	409
65	UWODS A		1st	4th	1st	1st	3rd	3rd	1st	2nd	4th	16	1420	4	1	0	401
66	Queensland A		1st	2nd	2nd	3rd	1st	1st	2nd	4th	4th	16	1420	3	3	0	437
67	IITB C	ESL	1st	3rd	2nd	3rd	1st	1st	1st	4th	4th	16	1418	4	1	0	436
68	McGill C		1st	3rd	4th	1st	2nd	1st	3rd	2nd	3rd	16	1418	3	2	0	383
69	KNUST B	ESL	1st	4th	3rd	1st	4th	1st	1st	4th	1st	16	1413	5	0	0	398
70	UPLB A	ESL	2nd	2nd	2nd	2nd	3rd	3rd	2nd	2nd	2nd	16	1410	0	7	0	392
71	DLSU EJ	ESL	2nd	1st	2nd	3rd	3rd	4th	1st	1st	3rd	16	1406	3	2	0	396
72	HSE A	ESL, EFL	1st	3rd	2nd	2nd	4th	3rd	1st	2nd	2nd	16	1400	2	4	0	378
73	Princeton C		1st	4th	4th	2nd	2nd	2nd	3rd	1st	1st	16	1398	3	3	0	354
74	Osaka A		3rd	2nd	1st	1st	3rd	3rd	4th	2nd	1st	16	1398	3	2	0	394
75	BINUS A	ESL, EFL	1st	4th	1st	2nd	4th	3rd	3rd	1st	1st	16	1397	4	1	0	378
76	Sciences Po B		1st	3rd	4th	2nd	2nd	1st	2nd	4th	1st	16	1397	3	3	0	387
77	Princeton F		3rd	1st	3rd	3rd	1st	4th	2nd	1st	2nd	16	1397	3	2	0	371
78	UCT A		1st	2nd	3rd	2nd	4th	4th	2nd	1st	1st	16	1392	3	3	0	388
79=	Durham AW		2nd	3rd	2nd	2nd	3rd	1st	3rd	3rd	1st	16	1392	2	3	0	374
79=	NUS B		2nd	3rd	2nd	3rd	3rd	2nd	3rd	1st	1st	16	1392	2	3	0	353
81	TCD Phil B		4th	3rd	3rd	1st	2nd	3rd	1st	1st	2nd	16	1391	3	2	0	373
82	Stanford D		1st	2nd	2nd	2nd	2nd	3rd	2nd	3rd	4th	15	1429	1	5	3	418
83	Belgrade Arts A	ESL, EFL	1st	2nd	1st	4th	2nd	4th	4th	1st	2nd	15	1426	3	3	0	430
84	Edinburgh A		1st	1st	4th	1st	4th	4th	1st	1st	4th	15	1424	5	0	0	411
85	Auckland B		1st	1st	3rd	2nd	1st	4th	4th	2nd	3rd	15	1423	3	2	0	436
86	Cambridge C		1st	4th	2nd	4th	1st	1st	2nd	3rd	3rd	15	1417	3	2	0	405
87	Stanford F		2nd	2nd	4th	2nd	1st	1st	3rd	4th	2nd	15	1417	2	4	0	405
88	UNSW D		2nd	1st	4th	1st	2nd	4th	1st	4th	2nd	15	1415	3	3	0	408
89	Penn A		2nd	1st	1st	4th	3rd	2nd	1st	3rd	4th	15	1415	3	2	0	420
90	Belgrade B	ESL, EFL	2nd	1st	3rd	4th	3rd	2nd	1st	4th	1st	15	1414	3	2	0	394
91	Harvard E		2nd	2nd	3rd	1st	1st	2nd	4th	4th	2nd	15	1411	2	4	0	414
92	McGill B		4th	2nd	1st	1st	4th	2nd	3rd	2nd	2nd	15	1409	2	4	0	383
93	Princeton D		3rd	2nd	3rd	1st	2nd	4th	2nd	3rd	1st	15	1408	2	3	0	381
94	IITB A	ESL	3rd	1st	1st	4th	3rd	1st	1st	4th	3rd	15	1407	4	0	0	394
95	NUS C		4th	2nd	1st	2nd	3rd	3rd	4th	1st	1st	15	1406	3	2	0	354
96=	NLIU A		2nd	2nd	1st	1st	2nd	3rd	4th	2nd	4th	15	1406	2	4	0	419
96=	Stanford G		1st	3rd	2nd	4th	2nd	2nd	4th	2nd	1st	15	1406	2	4	0	389
98	Brown A		1st	2nd	2nd	3rd	4th	1st	4th	1st	3rd	15	1405	3	2	0	406
99	Stanford E		2nd	1st	2nd	1st	4th	2nd	4th	3rd	2nd	15	1405	2	4	0	426
100	Princeton B		4th	1st	2nd	4th	2nd	1st	2nd	2nd	3rd	15	1400	2	4	0	355
101	GUU A		2nd	4th	1st	2nd	3rd	1st	2nd	3rd	3rd	15	1400	2	3	0	381
102	Tokyo A	ESL	2nd	4th	2nd	1st	3rd	4th	2nd	1st	2nd	15	1399	2	4	0	366
103	Auckland C		2nd	1st	3rd	3rd	1st	2nd	4th	3rd	2nd	15	1399	2	3	0	414
104	Bucharest B	ESL	2nd	2nd	4th	2nd	1st	2nd	4th	2nd	2nd	15	1399	1	6	0	373
105	UCL A		3rd	1st	3rd	2nd	1st	4th	2nd	2nd	3rd	15	1398	2	3	0	395
106	SMU D		2nd	4th	2nd	1st	2nd	2nd	4th	3rd	1st	15	1397	2	4	0	380
107	HKU D	ESL	2nd	3rd	2nd	3rd	2nd	1st	1st	3rd	4th	15	1397	2	3	0	395
108	UBC A		3rd	3rd	3rd	3rd	2nd	2nd	2nd	1st	2nd	15	1391	1	4	0	352
109	Telkom Telkom	ESL, EFL	3rd	1st	4th	2nd	1st	3rd	1st	4th	2nd	15	1390	3	2	0	363
110	Duke A		2nd	3rd	4th	1st	3rd	2nd	1st	2nd	3rd	15	1390	2	3	0	388
111	Rosario A	ESL, EFL	2nd	4th	1st	2nd	4th	2nd	2nd	3rd	1st	15	1384	2	4	0	355
112	UCT C		2nd	3rd	1st	4th	3rd	1st	4th	2nd	1st	15	1381	3	2	0	359
113	Durham RS		3rd	4th	1st	3rd	2nd	2nd	1st	1st	4th	15	1364	3	2	0	366
114	IUB A	ESL	4th	3rd	3rd	2nd	1st	2nd	1st	4th	1st	15	1360	3	2	0	323
115	Stanford B		1st	2nd	2nd	2nd	3rd	3rd	3rd	2nd	4th	14	1430	1	4	0	405
116	Auckland D		1st	4th	1st	4th	1st	1st	4th	4th	2nd	14	1408	4	1	0	400
117	Ateneo BG		2nd	2nd	1st	4th	1st	3rd	2nd	3rd	4th	14	1407	2	3	0	402
118	DTU 1	ESL	1st	2nd	4th	4th	1st	2nd	2nd	2nd	4th	14	1404	2	4	0	394
119	Stellenbosch A	ESL	2nd	1st	4th	2nd	3rd	3rd	3rd	1st	3rd	14	1403	2	2	0	381
120	UT MARA A	ESL	1st	2nd	3rd	3rd	3rd	2nd	2nd	4th	2nd	14	1402	1	4	0	399
121	IIUM A	ESL	3rd	3rd	1st	2nd	4th	2nd	4th	1st	2nd	14	1401	2	3	0	355
122	KNUST A	ESL	2nd	4th	1st	1st	2nd	4th	2nd	3rd	3rd	14	1398	2	3	0	397
123	QDU B		2nd	1st	4th	3rd	2nd	4th	4th	1st	1st	14	1396	3	2	0	362
124	IGNOU A	ESL	2nd	1st	4th	3rd	1st	1st	3rd	3rd	4th	14	1396	3	1	0	408
125	Ateneo SY		3rd	2nd	2nd	4th	1st	2nd	4th	2nd	2nd	14	1395	1	5	0	365
126	NTU D		4th	3rd	1st	1st	1st	3rd	1st	4th	4th	14	1394	4	0	0	387
127	TCD Hist AH		3rd	1st	2nd	4th	4th	4th	1st	2nd	1st	14	1391	3	2	0	356
128	McGill D		1st	1st	3rd	4th	3rd	2nd	2nd	3rd	3rd	14	1386	2	2	0	399
129	Harvard B		1st	4th	1st	2nd	4th	3rd	3rd	1st	3rd	14	1383	3	1	0	386
130=	Tokyo B	ESL, EFL	1st	3rd	3rd	1st	4th	1st	4th	2nd	3rd	14	1382	3	1	0	392
130=	UNSW E		3rd	1st	3rd	2nd	3rd	4th	1st	4th	1st	14	1382	3	1	0	351
132	Alaska A		2nd	4th	1st	2nd	1st	4th	3rd	2nd	3rd	14	1381	2	3	0	380
133	HWS A		3rd	3rd	1st	3rd	4th	1st	4th	2nd	1st	14	1378	3	1	0	345
134	DDUC A	ESL	3rd	3rd	3rd	3rd	1st	1st	3rd	4th	1st	14	1377	3	0	0	372
135	Amherst GD		2nd	4th	4th	2nd	2nd	1st	2nd	1st	4th	14	1377	2	4	0	351
136	Hart House C		3rd	1st	3rd	2nd	4th	1st	3rd	2nd	3rd	14	1377	2	2	1	372
137	AJCUI A	ESL, EFL	3rd	1st	2nd	3rd	2nd	4th	2nd	3rd	2nd	14	1375	1	4	0	367
138	Brown HK		3rd	2nd	2nd	3rd	3rd	3rd	2nd	2nd	2nd	14	1375	0	5	0	359
139=	Columbia B		3rd	1st	2nd	3rd	4th	2nd	2nd	4th	1st	14	1374	2	3	0	360
139=	TCD Hist CF		2nd	3rd	3rd	4th	2nd	2nd	1st	1st	4th	14	1374	2	3	0	336
141	Berlin A	ESL	4th	2nd	1st	2nd	2nd	2nd	4th	3rd	2nd	14	1374	1	5	0	370
142	HUFS B	ESL	2nd	3rd	3rd	2nd	2nd	3rd	3rd	2nd	2nd	14	1370	0	5	0	372
143	BHU A	ESL, EFL	4th	2nd	2nd	4th	4th	1st	2nd	1st	2nd	14	1369	2	4	0	310
144	UST A		4th	2nd	3rd	1st	2nd	4th	4th	1st	1st	14	1367	3	2	0	323
145	Indonesia 1	ESL, EFL	1st	4th	2nd	4th	3rd	2nd	1st	1st	4th	14	1365	3	2	0	347
146	Rochester IL		4th	3rd	2nd	3rd	1st	4th	2nd	2nd	1st	14	1356	2	3	0	308
147	SMU B		2nd	3rd	4th	3rd	1st	4th	3rd	1st	1st	14	1346	3	1	0	316
148	UPD A		1st	4th	2nd	2nd	1st	3rd	2nd	4th	4th	13	1410	2	3	0	414
149	Columbia C		2nd	1st	4th	2nd	2nd	1st	4th	3rd	4th	13	1408	2	3	0	382
150	Weizmann A	ESL	1st	2nd	2nd	4th	2nd	3rd	3rd	4th	2nd	13	1403	1	4	0	395
151	UCL B		2nd	3rd	1st	4th	1st	4th	3rd	1st	4th	13	1401	3	1	0	392
152	Duke B		1st	4th	1st	4th	2nd	2nd	3rd	3rd	3rd	13	1400	2	2	0	389
153	Belgrade C	ESL, EFL	2nd	2nd	3rd	3rd	4th	2nd	3rd	1st	3rd	13	1400	1	3	0	367
154	Belgrade D	ESL, EFL	1st	4th	4th	2nd	4th	1st	1st	2nd	4th	13	1399	3	2	0	359
