Rk	break	team	Pts	Spk	1sts	2nds
1	(different break)	HHU Taylor&#x27;s Version	13	931.00	3	1
2	(different break)	HHU Extralegal Mechanisms	12	924.00	1	4
3	1	SC Bucket	12	919.00	2	3
4	2	stonks	10	918.00	3	0
5	3	KNUST BM	10	899.00	3	0
6	4	KNUST G &amp; G	9	912.00	1	2
