Rk	break	team	Pts	Spk	1sts	2nds
1	1	UENR Kosua ne mako	15	930.00	4	1
2	2	DU Human Resources	14	933.00	3	2
3	3	HHU Taylor&#x27;s Version	13	931.00	3	1
4	4	Dy/Dx your extension	13	927.00	3	2
5	5	UWO Harvard A	13	855.00	3	1
6	6	HHU 🙃😉🥺👍	12	932.00	2	2
7	7	HHU Hart House	12	924.00	2	2
8	8	HHU Extralegal Mechanisms	12	924.00	1	4
