team	result	side	adjudicators
KNUST BM	eliminated	Opening Government	Nana Yaw Ofosu-AbabioⒸ , Awulika H. , Fatema Nami , Ritabrata Mitra , Zuha Tanweer
SC Bucket	eliminated	Opening Opposition	Nana Yaw Ofosu-AbabioⒸ , Awulika H. , Fatema Nami , Ritabrata Mitra , Zuha Tanweer
stonks	advancing	Closing Government	Nana Yaw Ofosu-AbabioⒸ , Awulika H. , Fatema Nami , Ritabrata Mitra , Zuha Tanweer
KNUST G &amp; G	eliminated	Closing Opposition	Nana Yaw Ofosu-AbabioⒸ , Awulika H. , Fatema Nami , Ritabrata Mitra , Zuha Tanweer
