team	result	side	adjudicators
Duke YL	3rd	Opening Government	Kate Xinyi He 🕷️Ⓒ , Wajeeh Maaz , Aarian BhakooⓉ , Amir RezaeiⓉ
Cornell TY	2nd	Opening Opposition	Kate Xinyi He 🕷️Ⓒ , Wajeeh Maaz , Aarian BhakooⓉ , Amir RezaeiⓉ
Waterloo S1	4th	Closing Government	Kate Xinyi He 🕷️Ⓒ , Wajeeh Maaz , Aarian BhakooⓉ , Amir RezaeiⓉ
McGill YM	1st	Closing Opposition	Kate Xinyi He 🕷️Ⓒ , Wajeeh Maaz , Aarian BhakooⓉ , Amir RezaeiⓉ
McMaster NZ	2nd	Opening Government	Patrick CowleyⒸ , Amalie Wilkinson , Jonathan Stolow , Jaanashee PunjabiⓉ , Sasha MacCluskeyⓉ
UBC Mv	1st	Opening Opposition	Patrick CowleyⒸ , Amalie Wilkinson , Jonathan Stolow , Jaanashee PunjabiⓉ , Sasha MacCluskeyⓉ
UBC BG	3rd	Closing Government	Patrick CowleyⒸ , Amalie Wilkinson , Jonathan Stolow , Jaanashee PunjabiⓉ , Sasha MacCluskeyⓉ
Rutgers VA	4th	Closing Opposition	Patrick CowleyⒸ , Amalie Wilkinson , Jonathan Stolow , Jaanashee PunjabiⓉ , Sasha MacCluskeyⓉ
Alberta KG	2nd	Opening Government	Tyler LiⒸ , Gautier Boyrie , Ghuntas AulakhⓉ , Raymond QiuⓉ
Rutgers OA	3rd	Opening Opposition	Tyler LiⒸ , Gautier Boyrie , Ghuntas AulakhⓉ , Raymond QiuⓉ
Carleton BG	4th	Closing Government	Tyler LiⒸ , Gautier Boyrie , Ghuntas AulakhⓉ , Raymond QiuⓉ
UBC PW	1st	Closing Opposition	Tyler LiⒸ , Gautier Boyrie , Ghuntas AulakhⓉ , Raymond QiuⓉ
McGill WM	4th	Opening Government	Josh CohenⒸ , Georgia Samuel , Madeleine Fordham , Akil HuangⓉ , Alex KellyⓉ
Duke CJ	3rd	Opening Opposition	Josh CohenⒸ , Georgia Samuel , Madeleine Fordham , Akil HuangⓉ , Alex KellyⓉ
Stanford DQ	2nd	Closing Government	Josh CohenⒸ , Georgia Samuel , Madeleine Fordham , Akil HuangⓉ , Alex KellyⓉ
TBA A	1st	Closing Opposition	Josh CohenⒸ , Georgia Samuel , Madeleine Fordham , Akil HuangⓉ , Alex KellyⓉ
Princeton ZK	2nd	Opening Government	Michael WarrenⒸ , Shaira Shafiquizzaman , Duncan MacdonaldⓉ , Erasmo PassaroⓉ , Tymofii TrakhachovⓉ
Sydney A	1st	Opening Opposition	Michael WarrenⒸ , Shaira Shafiquizzaman , Duncan MacdonaldⓉ , Erasmo PassaroⓉ , Tymofii TrakhachovⓉ
Queen&#x27;s KW	3rd	Closing Government	Michael WarrenⒸ , Shaira Shafiquizzaman , Duncan MacdonaldⓉ , Erasmo PassaroⓉ , Tymofii TrakhachovⓉ
Swing 1	4th	Closing Opposition	Michael WarrenⒸ , Shaira Shafiquizzaman , Duncan MacdonaldⓉ , Erasmo PassaroⓉ , Tymofii TrakhachovⓉ
UWODS CW	1st	Opening Government	Tanvir ShahriarⒸ , Dihan Mashroor Niloy , Max Jean-Paul Williams , Kate LeveyⓉ , Shannon O GradyⓉ
McMaster AD	3rd	Opening Opposition	Tanvir ShahriarⒸ , Dihan Mashroor Niloy , Max Jean-Paul Williams , Kate LeveyⓉ , Shannon O GradyⓉ
EDS KP	2nd	Closing Government	Tanvir ShahriarⒸ , Dihan Mashroor Niloy , Max Jean-Paul Williams , Kate LeveyⓉ , Shannon O GradyⓉ
Clemson AF	4th	Closing Opposition	Tanvir ShahriarⒸ , Dihan Mashroor Niloy , Max Jean-Paul Williams , Kate LeveyⓉ , Shannon O GradyⓉ
