Rk	break	team	Pts	Spk	1sts	2nds
1	1	McGill RS	13	816.00	3	2
2	2	TBA A	13	815.00	4	0
3	3	Princeton XI	13	813.00	3	2
4	4	Queen&#x27;s AW	13	796.00	3	2
5	5	McGill YM	11	806.00	3	1
6	6	Dartmouth/Dino XW	11	801.00	2	2
7	7	UBC PW	11	798.00	2	2
8	8	Cambridge AF	11	780.00	2	2
9	9	Sydney A	11	777.00	3	1
10	10	UWODS CW	11	771.00	2	2
11	11	Harvard MW	10	802.00	3	0
12	12	Victoria BS	10	801.00	2	2
13	13	Stanford DQ	10	792.00	2	1
14	14	Duke CJ	10	781.00	2	1
15	(ineligible)	Swing 3	10	774.00	2	1
16	15	Waterloo AC	10	756.00	3	0
17	16	Alberta KG	9	779.00	1	2
