Rk	name	category	team	R1	R2	R3	R4	Total	Avg	Stdev
66=	Wiktor Chałupniczak	ESL	ACA DCA MMA	78	78	75	76	307	76.75	1.30
66=	Samvit Nagpal		St Andrews I hit my peak at 7 (minutes)	75	80	77	75	307	76.75	2.05
66=	Thomas Calcagno	ESL	ASDV Bonaparte still, desperately, seeking sponso	81	79	71	76	307	76.75	3.77
72=	Patrick Stewart	Novice	GUU D(oggystle)	75	77	77	77	306	76.50	0.87
72=	Michal Rubin	ESL	HUJI B(enedict Camembert)	75	78	76	77	306	76.50	1.12
72=	Itamar Zangvil	ESL, Novice	HUJI Matterdumping Gambit	77	78	74	77	306	76.50	1.50
72=	Kaustubh Jain	Novice	Started from Oxford IV now we’re h	77	75	76	78	306	76.50	1.12
76=	Jack Zhu	Novice	Hart House Trenta Iced Piss	74	82	76	73	305	76.25	3.49
76=	Navve Wasserman	ESL	Weizmann Navve &amp; Michal	78	77	77	73	305	76.25	1.92
76=	Dvij Mankad	ESL, Novice	Weizmann No Titles in Our Speeches	72	78	78	77	305	76.25	2.49
79=	Boaz Katzir	ESL	Tel Aviv A	75	76	76	77	304	76.00	0.71
79=	Raymond Qiu	Novice	Queen&#x27;s the shepherd	78	78	73	75	304	76.00	2.12
79=	Claire Beamer	Novice	Started from Oxford IV now we’re h	76	73	77	78	304	76.00	1.87
79=	Pavle Antonijević	ESL	Team name	73	77	78	76	304	76.00	1.87
83=	Harvey Olden		GUU C(owgirl)	76	74	77	76	303	75.75	1.09
83=	Brian Kam	ESL	maet deltitnu	76	76	75	76	303	75.75	0.43
83=	Rachel Lee	Novice	It is important to note that a vic	77	78	74	74	303	75.75	1.79
83=	Amitai Wagner	ESL	Haifa Uri Zakai kicked Chuck Norris	80	74	75	74	303	75.75	2.49
83=	Noam Ottolenghi	ESL	Weizmann K&amp;N	77	75	74	77	303	75.75	1.30
83=	Rhea Abraham		GUU C(owgirl)	76	74	76	77	303	75.75	1.09
83=	Rick Tan		UCL Tan &amp; Nouman	72	79	75	77	303	75.75	2.59
83=	Liv Misztowt		Cardiff weird conception of foreplay	75	76	75	77	303	75.75	0.83
83=	Aryaman Sarda	Novice	Tora and Aru	77	76	72	78	303	75.75	2.28
92	Karin Matkovski	ESL	Weizmann K&amp;N	76	75	74	77	302	75.50	1.12
93=	Peli Meir	ESL	Haifa Uri Zakai kicked Chuck Norris	78	74	76	73	301	75.25	1.92
93=	Nimai Koneru		Queen&#x27;s Bagel fuckers	76	77	74	74	301	75.25	1.30
93=	William Zhang	Novice	Hart House Rizzards of the Coast	72	75	78	76	301	75.25	2.17
93=	Priyansh Shah	Novice	LSE (sl)E(epy)	74	76	75	76	301	75.25	0.83
93=	Meryl Lim	Novice	LSE (sl)E(epy)	73	77	74	77	301	75.25	1.79
98=	Joshua Beh	Novice	It is important to note that a vic	76	77	75	72	300	75.00	1.87
98=	Robert Howden		Queen&#x27;s Bagel fuckers	75	76	75	74	300	75.00	0.71
98=	Agnes Li	ESL	Give me a VPN	74	76	75	75	300	75.00	0.71
101=	Peter Hale	Novice	If we don’t break you will	72	77	72	78	299	74.75	2.77
101=	Redacted		—	72	74	77	76	299	74.75	1.92
101=	Toranosuke Hashimoto	ESL, Novice	Tora and Aru	75	76	71	77	299	74.75	2.28
104=	Dejan Bošković	ESL, Novice	Team name	72	75	77	74	298	74.50	1.80
104=	Brenden Han	Novice	Hart House Rizzards of the Coast	71	73	78	76	298	74.50	2.69
106=	Tatiana Sevyan	ESL	maet deltitnu	75	74	74	74	297	74.25	0.43
106=	Emanuel Sygal	ESL, Novice	Tel Aviv Reut &amp; Emanuel	73	78	74	72	297	74.25	2.28
108	Reut Ginat	ESL	Tel Aviv Reut &amp; Emanuel	71	78	75	72	296	74.00	2.74
109	Tory Nguyen	ESL, Novice	If we don’t break you will	72	74	72	77	295	73.75	2.05
110	Redacted	Novice	LSE Budget nathaniel yoon	80	82	79	—	241	80.33	1.25
111	Seamus Allen		Stanford Mostly Harmless	—	82	78	78	238	79.33	1.89
112	Omar Shalabby	ESL	Don’t SchSh us	75	78	83	—	236	78.67	3.30
113	Roy Schulman	ESL	Don’t SchSh us	76	78	81	—	235	78.33	2.05
114	Dragos Sassu	ESL	Bucharest B	77	76	80	—	233	77.67	1.70
115	Theo Simion	ESL	Bucharest B	75	76	79	—	230	76.67	1.70
116	Mikolaj Jablonski	ESL	Cardiff weird conception of foreplay	75	75	—	76	226	75.33	0.47
117	Beatrice Pretta		Give me a VPN	72	76	73	—	221	73.67	1.70
118	Cherry Yu	Novice	LSE LS(E)D	73	76	—	—	149	74.50	1.50
119	Redacted		—	73	74	—	—	147	73.50	0.50
120=	Speaker B1		Swing B	—	—	78	—	78	78.00	0.00
120=	Speaker B2		Swing B	—	—	78	—	78	78.00	0.00
120=	Speaker C1		C	—	—	—	78	78	78.00	0.00
120=	Speaker C2		C	—	—	—	78	78	78.00	0.00
120=	Speaker D1		Swing D1	—	—	—	78	78	78.00	0.00
120=	Speaker D2		Swing D1	—	—	—	78	78	78.00	0.00
126	Arthur Chan	Novice	LSE LS(E)D	—	—	—	75	75	75.00	0.00
127=	Lee Wei Kang		Cambridge karen is this still part of your d	—	—	—	—	—	—	—
127=	Karen Chen		Cambridge karen is this still part of your d	—	—	—	—	—	—	—
