Rk	break	team	Pts	Spk	1sts	2nds
1	1	Sofia A	12	648.00	4	0
2	2	TCD Hist the blue bulldog gene is recessive	10	642.00	2	2
3	3	Oh it&#x27;s like a mindgoblin	10	633.00	2	2
4	(withdrawn)	KCL (A)lready on our knees for Daddy, s	9	647.00	2	1
5	4	HUJI Challenger? I hardly know &#x27;er	9	638.00	1	3
