Rk	break	team	Pts	Spk	1sts	2nds
1	(different break)	KCL Polish and American Solidarity	10	774.00	2	1
2	(different break)	Princeton Kashmiri Pulao	9	794.00	0	4
3	1	Stanford TC	9	781.00	3	0
4	2	1st comp pls be nice	9	766.00	1	2
5	3	Oxford sk8er girls	8	774.00	2	0
6	(different break)	IIT Bombay twiceborn privileged enemies die t	8	771.00	1	2
7	4	Tejas Taught Us This	8	770.00	2	1
