Rk	break	team	Pts	Spk	1sts	2nds
1	1	PDP 2	29	1319.00	3	4
2	2	Stanford 1	28	1311.00	5	1
3	3	UChicago 4	28	1304.00	5	0
4	4	Yale 6	27	1303.00	3	3
5	5	UChicago 3	27	1295.00	4	1
6	6	UChicago 2	26	1287.00	3	3
7	(withdrawn)	Yale 4	25	1262.00	5	1
8	7	UPenn 1	25	1261.00	1	5
9	8	JHU 1	24	1280.00	3	2
10	9	Harvard 4	24	1267.00	5	1
11	10	UCLA 2	24	1266.00	3	3
12	11	Yale 5	24	1260.00	3	3
13	12	Harvard 3	24	1256.00	3	2
14	13	Duke 1	23	1279.00	2	2
15	14	Cornell 3	23	1243.00	2	3
16	15	GW 1	22	1286.00	3	1
17	16	Harvard 1	22	1275.00	3	2
