Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	Pts	Spk	1sts	2nds
33	Duke 3	Novice	3rd	4th	1st	4th	1st	2nd	2nd	1st	19	1209	3	2
34	USAFA 2	Novice	2nd	2nd	4th	4th	1st	1st	4th	1st	19	1198	3	2
35	HWS 4	Novice	4th	2nd	1st	2nd	4th	1st	1st	3rd	19	1197	3	2
36	Yale 2	Novice	3rd	1st	3rd	1st	4th	2nd	2nd	4th	18	1229	2	2
37	Cornell 1		1st	4th	2nd	1st	4th	3rd	3rd	4th	18	1225	2	1
38	LCC 3	Novice	3rd	4th	2nd	1st	2nd	3rd	1st	2nd	18	1198	2	3
39	Bard 2	Novice	3rd	1st	4th	1st	3rd	4th	2nd	1st	18	1196	3	1
40	Cornell 6	Novice	3rd	1st	3rd	3rd	2nd	2nd	4th	2nd	18	1188	1	3
41	DUDU 1		2nd	3rd	2nd	4th	1st	3rd	3rd	4th	17	1204	1	2
42	Wheaton 1		1st	3rd	4th	3rd	3rd	4th	1st	3rd	17	1201	2	0
43	LCC 1		3rd	2nd	2nd	1st	3rd	4th	3rd	3rd	17	1201	1	2
44	USAFA 5		2nd	3rd	4th	2nd	4th	2nd	2nd	1st	17	1193	1	4
45	Wheaton 2		4th	4th	2nd	1st	1st	1st	2nd	2nd	17	1190	3	3
46	Colgate 2	Novice	2nd	3rd	4th	3rd	3rd	2nd	1st	3rd	16	1199	1	2
47	USAFA 3	Novice	4th	1st	4th	1st	2nd	3rd	3rd	1st	16	1197	3	1
48	LCC 2		4th	2nd	3rd	2nd	1st	2nd	3rd	2nd	16	1182	1	4
49	Clemson 2	Novice	3rd	2nd	3rd	2nd	2nd	3rd	2nd	4th	16	1178	0	4
50	GFU 2	Novice	4th	3rd	1st	1st	1st	3rd	4th	4th	15	1194	3	0
51	Cornell 10	Novice	4th	1st	2nd	3rd	2nd	4th	4th	2nd	15	1193	1	3
52	Bates 4	Novice	3rd	3rd	2nd	3rd	4th	3rd	1st	3rd	15	1190	1	1
53	Colgate 1	Novice	1st	4th	4th	1st	4th	1st	4th	4th	15	1189	3	0
54	Claremont 1	Novice	3rd	4th	2nd	4th	1st	4th	2nd	1st	15	1185	2	2
55	WM 2	Novice	2nd	1st	4th	4th	3rd	2nd	—	—	15	902	1	2
56	Morehouse 2		4th	3rd	4th	1st	1st	1st	4th	1st	14	1191	4	0
57	Bates 2	Novice	4th	2nd	4th	3rd	2nd	2nd	1st	2nd	14	1189	1	4
58	Cornell 14	Novice	4th	1st	3rd	3rd	3rd	1st	3rd	4th	14	1180	2	0
59	Bard 3	Novice	2nd	4th	1st	4th	4th	4th	3rd	3rd	14	1179	1	1
60	Bates 3	Novice	4th	3rd	3rd	1st	3rd	3rd	1st	3rd	13	1181	2	0
61	Cornell 8		3rd	3rd	3rd	3rd	2nd	4th	3rd	2nd	13	1175	0	2
62	Cornell 9	Novice	2nd	4th	4th	2nd	3rd	3rd	3rd	3rd	12	1179	0	2
63	Cornell 4	Novice	4th	3rd	4th	2nd	3rd	1st	3rd	1st	12	1178	2	1
64	Cornell 13	Novice	3rd	4th	2nd	2nd	4th	3rd	2nd	4th	12	1177	0	3
65	Cornell 7	Novice	3rd	4th	1st	4th	4th	1st	4th	4th	12	1169	2	0
66	HWS 2		3rd	3rd	1st	4th	3rd	4th	—	—	12	882	1	0
67	Clemson 1	Novice	4th	4th	1st	3rd	2nd	2nd	4th	4th	11	1179	1	2
68	Cornell 11	Novice	4th	4th	4th	3rd	1st	1st	2nd	2nd	11	1174	2	2
69	GFU 1	Novice	4th	3rd	3rd	2nd	4th	3rd	3rd	2nd	10	1182	0	2
70	Colgate 3	Novice	3rd	2nd	4th	4th	4th	4th	2nd	3rd	10	1166	0	2
71	Cornell 5	Novice	2nd	4th	3rd	2nd	—	—	—	—	10	591	0	2
72	HWS 6	Novice	4th	2nd	3rd	3rd	2nd	4th	4th	4th	9	1161	0	2
73	Bard 1	Novice	4th	4th	3rd	4th	2nd	4th	1st	3rd	8	1167	1	1
74	HWS 5	Novice	3rd	3rd	4th	4th	3rd	2nd	4th	4th	8	1149	0	1
75	TKC NYC 2		4th	2nd	4th	4th	4th	4th	4th	1st	7	1126	1	1
76	Swing set		4th	4th	2nd	4th	4th	2nd	—	—	6	855	0	2
77	Swing dance		—	—	—	—	3rd	3rd	—	—	2	290	0	0
78=	WM 1		—	—	—	—	—	—	—	—	—	—	0	0
78=	Swing a bat		—	—	—	—	—	—	—	—	—	—	0	0
