Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
49	UCT A		2nd	3rd	3rd	3rd	1st	8	770	1	1
50=	Bates NM		2nd	1st	3rd	4th	2nd	8	763	1	2
50=	Stanford CM	Novice	2nd	4th	1st	2nd	3rd	8	763	1	2
52	Bucharest B	ESL	3rd	4th	1st	3rd	1st	8	759	2	0
53	Nottingham NDU		1st	2nd	1st	4th	4th	8	758	2	1
54	BDU B	ESL	4th	3rd	3rd	1st	1st	8	739	2	0
55	Imperial A		3rd	1st	3rd	2nd	4th	7	783	1	1
56	Yale SY		1st	3rd	4th	1st	4th	7	781	2	0
57	Princeton B		2nd	2nd	4th	2nd	3rd	7	780	0	3
58	Cambridge LM	Novice	4th	1st	1st	3rd	4th	7	779	2	0
59	Cornell KP		3rd	3rd	2nd	1st	4th	7	776	1	1
60	Sciences Po B	ESL, Novice	3rd	3rd	2nd	3rd	2nd	7	776	0	2
61	KCL C		1st	4th	3rd	2nd	3rd	7	773	1	1
62	EDS A	ESL	3rd	1st	4th	1st	4th	7	768	2	0
63	TCD Hist A		3rd	2nd	3rd	4th	1st	7	765	1	1
64	Queen&#x27;s B		4th	3rd	4th	1st	1st	7	758	2	0
65	Sciences Po L	Novice	3rd	4th	1st	3rd	2nd	7	757	1	1
66	Hart House B		1st	3rd	3rd	4th	2nd	7	756	1	1
67	St Andrews JO	Novice	3rd	4th	2nd	2nd	2nd	7	755	0	3
68	Imperial B		3rd	4th	2nd	3rd	1st	7	751	1	1
69	Bristol NA	Novice	3rd	4th	1st	2nd	3rd	7	736	1	1
70	TCD Phil B		—	1st	3rd	4th	1st	7	616	2	0
71	Cornell OM		2nd	1st	4th	3rd	4th	6	777	1	1
72	Edinburgh A		2nd	2nd	3rd	4th	3rd	6	771	0	2
73	Yale CD		2nd	3rd	1st	4th	4th	6	765	1	1
74	Rutgers OA	Novice	3rd	2nd	4th	4th	1st	6	761	1	1
75	Malaya	ESL	3rd	4th	2nd	3rd	2nd	6	761	0	2
76	Bristol HK	Novice	2nd	4th	3rd	1st	4th	6	757	1	1
77	IIUM 2	ESL	3rd	3rd	2nd	4th	2nd	6	756	0	2
78	Edinburgh B		4th	3rd	3rd	1st	3rd	6	751	1	0
79	TCD Hist C	Novice	3rd	2nd	4th	3rd	2nd	6	748	0	2
80	Cambridge WS		3rd	2nd	4th	2nd	3rd	6	747	0	2
81	UBC LV		4th	3rd	3rd	1st	3rd	6	743	1	0
82	NYUAD B		2nd	4th	2nd	4th	2nd	6	741	0	3
83	Imperial SW		4th	3rd	3rd	1st	3rd	6	740	1	0
84	Loyola B		2nd	2nd	4th	2nd	4th	6	733	0	3
85	EDS RT	ESL	4th	1st	4th	1st	4th	6	730	2	0
86	KCL QR	Novice	4th	2nd	4th	2nd	3rd	5	758	0	2
87	Sheffield A		2nd	4th	1st	4th	4th	5	756	1	1
88	Sciences Po A	Novice	3rd	2nd	4th	2nd	4th	5	748	0	2
89	Sciences Po C	ESL, Novice	2nd	4th	3rd	2nd	4th	5	745	0	2
90	Warwick B	ESL	3rd	4th	1st	3rd	4th	5	744	1	0
91	BDU A	ESL, Novice	4th	2nd	4th	2nd	3rd	5	738	0	2
92	Manchester B		4th	4th	1st	3rd	3rd	5	734	1	0
93	Middlebury AM	Novice	4th	2nd	4th	3rd	2nd	5	723	0	2
94	RHUL 1		4th	3rd	1st	4th	3rd	5	718	1	0
95	Middlebury SH	Novice	4th	4th	4th	2nd	1st	5	704	1	1
96	Yale HK		2nd	3rd	3rd	3rd	—	5	624	0	1
97	Warwick A		4th	3rd	4th	3rd	2nd	4	740	0	1
98	RHUL 3		4th	1st	4th	4th	3rd	4	728	1	0
99	Rutgers AJ		4th	4th	2nd	2nd	4th	4	727	0	2
100	HPU SC		3rd	4th	2nd	4th	4th	3	748	0	1
101	Middlebury CG	Novice	4th	4th	3rd	4th	2nd	3	723	0	1
102	EDS C	ESL, Novice	4th	2nd	3rd	4th	4th	3	722	0	1
103	Leiden HM		4th	3rd	2nd	4th	4th	3	720	0	1
104	Loyola A		4th	3rd	3rd	4th	3rd	3	710	0	0
105	RHUL 5		4th	2nd	4th	3rd	4th	3	703	0	1
106	Swing 4		—	—	—	—	1st	3	159	1	0
107	Cambridge AT		4th	2nd	—	—	—	2	309	0	1
108	Swing 3		—	2nd	—	—	—	2	148	0	1
109	Sciences Po DR	Novice	3rd	4th	4th	4th	4th	1	706	0	0
110	BDU C		4th	4th	4th	4th	3rd	1	703	0	0
111	RHUL 2	Novice	4th	4th	4th	3rd	4th	1	686	0	0
112	Swing 1		—	3rd	—	—	—	1	150	0	0
113	Swing 2		—	4th	—	—	—	0	144	0	0
114=	HPU SR		—	—	—	—	—	—	—	0	0
114=	HPU SS	Novice	—	—	—	—	—	—	—	0	0
114=	Swing 5		—	—	—	—	—	—	—	0	0
114=	TCD Hist B	Novice	—	—	—	—	—	—	—	0	0
