team	institution	result	side	adjudicators
RVCE B	RVCE	advancing	Opening Government	Snigdha PriyadarshiniⒸ , Abhirup Manna , Kojo Acheampong , Meghana Srinivas , Prashasti Saxena
Nicotine 2.0	JGU	eliminated	Opening Opposition	Snigdha PriyadarshiniⒸ , Abhirup Manna , Kojo Acheampong , Meghana Srinivas , Prashasti Saxena
RVCE C	RVCE	advancing	Closing Government	Snigdha PriyadarshiniⒸ , Abhirup Manna , Kojo Acheampong , Meghana Srinivas , Prashasti Saxena
Ying and Yang	NUL	eliminated	Closing Opposition	Snigdha PriyadarshiniⒸ , Abhirup Manna , Kojo Acheampong , Meghana Srinivas , Prashasti Saxena
The Knights	JGU	advancing	Opening Government	ShrutiⒸ , Archit Lahiri , Aryennh Kulkarni , Priya Shukla , Pushpit Singh
Debating Divas	NLSIU	eliminated	Opening Opposition	ShrutiⒸ , Archit Lahiri , Aryennh Kulkarni , Priya Shukla , Pushpit Singh
The ConChordants	MSE	advancing	Closing Government	ShrutiⒸ , Archit Lahiri , Aryennh Kulkarni , Priya Shukla , Pushpit Singh
The Cockroaches	NLSIU	eliminated	Closing Opposition	ShrutiⒸ , Archit Lahiri , Aryennh Kulkarni , Priya Shukla , Pushpit Singh
