team	institution	result	side	ballot	adjudicators
Getting rekt	—	2nd	Closing Opposition	View Ballot	Snigdha PriyadarshiniⒸ , Ananya Thakur , Yash Phadke
A2A Debaters	CUB	2nd	Opening Government	View Ballot	Pratyush Kumar ShekharⒸ , Sakshi Kasala
Anything Goes	GLCM	4th	Opening Opposition	View Ballot	Pratyush Kumar ShekharⒸ , Sakshi Kasala
Last Minute	RVCE	3rd	Closing Government	View Ballot	Pratyush Kumar ShekharⒸ , Sakshi Kasala
Banashankari bois	PESU	2nd	Opening Government	View Ballot	ShrutiⒸ
Debate Nerds	GLCM	4th	Opening Opposition	View Ballot	ShrutiⒸ
Nehal Yadav	DNLU	3rd	Closing Government	View Ballot	ShrutiⒸ
Swing 1	—	1st	Closing Opposition	View Ballot	ShrutiⒸ
Don&#x27;t.	NLSIU	2nd	Opening Government	View Ballot	Dylan SalcedoⒸ , Souritri SantraⓉ
We hate debating	UPES	3rd	Opening Opposition	View Ballot	Dylan SalcedoⒸ , Souritri SantraⓉ
RVCE E	RVCE	1st	Closing Government	View Ballot	Dylan SalcedoⒸ , Souritri SantraⓉ
oh please	—	4th	Closing Opposition	View Ballot	Dylan SalcedoⒸ , Souritri SantraⓉ
tea&amp;coffee	SXCK	4th	Opening Government	View Ballot	Therese GenotaⒸ , Parshav Jain , Surabhi Suresh
Dudh si safedi nirma se aaye	VIT	1st	Opening Opposition	View Ballot	Therese GenotaⒸ , Parshav Jain , Surabhi Suresh
RVCE B	RVCE	2nd	Closing Government	View Ballot	Therese GenotaⒸ , Parshav Jain , Surabhi Suresh
Paid Churro	UPD	3rd	Closing Opposition	View Ballot	Therese GenotaⒸ , Parshav Jain , Surabhi Suresh
Kya Rakhe Naam	SXCK	3rd	Opening Government	View Ballot	Abhilash SaneⒸ , Jahnavi Rishikesh , Priya Shukla
Good Cop Bad Cop	CUB	4th	Opening Opposition	View Ballot	Abhilash SaneⒸ , Jahnavi Rishikesh , Priya Shukla
Drop ur letterboxd	SLSP	2nd	Closing Government	View Ballot	Abhilash SaneⒸ , Jahnavi Rishikesh , Priya Shukla
