team	institution	result	side	ballot	adjudicators
Anything Goes	GLCM	1st	Opening Government	View Ballot	Dylan SalcedoⒸ
We can	RVCE	2nd	Opening Opposition	View Ballot	Dylan SalcedoⒸ
Objection	GLCM	3rd	Closing Government	View Ballot	Dylan SalcedoⒸ
Banashankari bois	PESU	4th	Closing Opposition	View Ballot	Dylan SalcedoⒸ
Debating Divas	NLSIU	1st	Opening Government	View Ballot	Snigdha PriyadarshiniⒸ , Cherishma , Jahnavi Rishikesh
tea&amp;coffee	SXCK	4th	Opening Opposition	View Ballot	Snigdha PriyadarshiniⒸ , Cherishma , Jahnavi Rishikesh
The ConChordants	MSE	2nd	Closing Government	View Ballot	Snigdha PriyadarshiniⒸ , Cherishma , Jahnavi Rishikesh
Kya Rakhe Naam	SXCK	3rd	Closing Opposition	View Ballot	Snigdha PriyadarshiniⒸ , Cherishma , Jahnavi Rishikesh
MiniMorty and Bigger Makmak	DLSU SHS	2nd	Opening Government	View Ballot	Archit LahiriⒸ , Ananya Thakur
Machas	NLIUB	1st	Opening Opposition	View Ballot	Archit LahiriⒸ , Ananya Thakur
Good Cop Bad Cop	CUB	3rd	Closing Government	View Ballot	Archit LahiriⒸ , Ananya Thakur
Shreya &amp; Sid	GLCM	4th	Closing Opposition	View Ballot	Archit LahiriⒸ , Ananya Thakur
Sabki Pasand Nirma!	VIT	2nd	Opening Government	View Ballot	Prashasti SaxenaⒸ , Aayana Rai Bhojani , Abhilash Sane
gah! goo! par! eh!	DLSU SHS	3rd	Opening Opposition	View Ballot	Prashasti SaxenaⒸ , Aayana Rai Bhojani , Abhilash Sane
Bun Maska	BITSG	4th	Closing Government	View Ballot	Prashasti SaxenaⒸ , Aayana Rai Bhojani , Abhilash Sane
UPD Graphic Design is Our Passion	UPD	1st	Closing Opposition	View Ballot	Prashasti SaxenaⒸ , Aayana Rai Bhojani , Abhilash Sane
Washing Powder Nirma	VIT	1st	Opening Government	View Ballot	Kojo AcheampongⒸ , Aleena Paul , Pratyush Kumar Shekhar
UPLB Teambulan	UPLB	4th	Opening Opposition	View Ballot	Kojo AcheampongⒸ , Aleena Paul , Pratyush Kumar Shekhar
RVCE B	RVCE	3rd	Closing Government	View Ballot	Kojo AcheampongⒸ , Aleena Paul , Pratyush Kumar Shekhar
GLC-SXC Cross	—	2nd	Closing Opposition	View Ballot	Kojo AcheampongⒸ , Aleena Paul , Pratyush Kumar Shekhar
