team	institution	result	side	ballot	adjudicators
Crispy dosa	GLCM	2nd	Closing Government	View Ballot	Cici LiuⒸ , Mahanth P AⓉ
Nehal Yadav	DNLU	4th	Closing Opposition	View Ballot	Cici LiuⒸ , Mahanth P AⓉ
Darles Chickens	MCDU	4th	Opening Government	View Ballot	Keshav MalikⒸ , Vinayak MalhotraⓉ
XLRI - GGMU	XLRIJ	2nd	Opening Opposition	View Ballot	Keshav MalikⒸ , Vinayak MalhotraⓉ
Chicken wings	RCL	3rd	Closing Government	View Ballot	Keshav MalikⒸ , Vinayak MalhotraⓉ
Debating Divas	NLSIU	1st	Closing Opposition	View Ballot	Keshav MalikⒸ , Vinayak MalhotraⓉ
Objection	GLCM	3rd	Opening Government	View Ballot	Shudipto AhmedⒸ , Yash PhadkeⓉ
I&#x27;m not asleep my mind is alive	GLCM	1st	Opening Opposition	View Ballot	Shudipto AhmedⒸ , Yash PhadkeⓉ
We can	RVCE	4th	Closing Government	View Ballot	Shudipto AhmedⒸ , Yash PhadkeⓉ
ronbingchillin	DLSU SHS	2nd	Closing Opposition	View Ballot	Shudipto AhmedⒸ , Yash PhadkeⓉ
gah! goo! par! eh!	DLSU SHS	3rd	Opening Government	View Ballot	Hishah KhalishahⒸ , Virendra Pratap Singh RathodⓉ
Eto Chudurbudur Ken ?	—	1st	Opening Opposition	View Ballot	Hishah KhalishahⒸ , Virendra Pratap Singh RathodⓉ
IIT B	IITB	4th	Closing Government	View Ballot	Hishah KhalishahⒸ , Virendra Pratap Singh RathodⓉ
Bun Maska	BITSG	2nd	Closing Opposition	View Ballot	Hishah KhalishahⒸ , Virendra Pratap Singh RathodⓉ
Ying and Yang	NUL	2nd	Opening Government	View Ballot	Abhirup MannaⒸ , Hemant singh rajawat , Shreya Sahi
PATIENT ZERO	RCL	1st	Opening Opposition	View Ballot	Abhirup MannaⒸ , Hemant singh rajawat , Shreya Sahi
Vikings	—	3rd	Closing Opposition	View Ballot	Abhirup MannaⒸ , Hemant singh rajawat , Shreya Sahi
Jugadu Debaters	GC	3rd	Opening Government	View Ballot	Frank BannermanⒸ , Ayush Kanaujia , Sunayana MoroⓉ
A2A Debaters	CUB	4th	Opening Opposition	View Ballot	Frank BannermanⒸ , Ayush Kanaujia , Sunayana MoroⓉ
Paid Churro	UPD	1st	Closing Government	View Ballot	Frank BannermanⒸ , Ayush Kanaujia , Sunayana MoroⓉ
RVCE C	RVCE	2nd	Closing Opposition	View Ballot	Frank BannermanⒸ , Ayush Kanaujia , Sunayana MoroⓉ
Panel Pleasers	MCDU	2nd	Opening Government	View Ballot	Sam UnabiaⒸ , Aditi Singhal
The Cockroaches	NLSIU	4th	Opening Opposition	View Ballot	Sam UnabiaⒸ , Aditi Singhal
Dudh si safedi nirma se aaye	VIT	1st	Closing Government	View Ballot	Sam UnabiaⒸ , Aditi Singhal
Shreya &amp; Sid	GLCM	3rd	Closing Opposition	View Ballot	Sam UnabiaⒸ , Aditi Singhal
Break(down)	IPCW	3rd	Opening Government	View Ballot	Rahul DattaⒸ , Parshav Jain
Ninnn…	RCL	1st	Opening Opposition	View Ballot	Rahul DattaⒸ , Parshav Jain
RVCE A	RVCE	4th	Closing Government	View Ballot	Rahul DattaⒸ , Parshav Jain
Machas	NLIUB	2nd	Closing Opposition	View Ballot	Rahul DattaⒸ , Parshav Jain
It’s 4 AM at 107	—	2nd	Opening Government	View Ballot	Snigdha PriyadarshiniⒸ , Anusha Jain , Aleena PaulⓉ
Indecisive ambassadors	—	3rd	Opening Opposition	View Ballot	Snigdha PriyadarshiniⒸ , Anusha Jain , Aleena PaulⓉ
Kannis Film Festival	GNLU	4th	Opening Government	View Ballot	Prashasti SaxenaⒸ , Surabhi SureshⓉ
UPD Graphic Design is Our Passion	UPD	3rd	Closing Government	View Ballot	Prashasti SaxenaⒸ , Surabhi SureshⓉ
Chandraywan-Aachar samporn soch vic	—	1st	Closing Opposition	View Ballot	Prashasti SaxenaⒸ , Surabhi SureshⓉ
Debate Nerds	GLCM	4th	Opening Government	View Ballot	Akshatha SabajiⒸ , Abhirath MSⓉ
Banashankari bois	PESU	3rd	Opening Opposition	View Ballot	Akshatha SabajiⒸ , Abhirath MSⓉ
The Knights	JGU	2nd	Closing Government	View Ballot	Akshatha SabajiⒸ , Abhirath MSⓉ
Masala Dosa	PESU	1st	Closing Opposition	View Ballot	Akshatha SabajiⒸ , Abhirath MSⓉ
Kerwa Kings 👑	NLIUB	1st	Opening Government	View Ballot	Cici LiuⒸ , Mahanth P AⓉ
Don&#x27;t.	NLSIU	3rd	Opening Opposition	View Ballot	Cici LiuⒸ , Mahanth P AⓉ
MUST delay know more	MUST	2nd	Opening Government	View Ballot	Pratyush Kumar ShekharⒸ , Ananya ThakurⓉ
Not Bad Debaters	NLIUB	3rd	Opening Opposition	View Ballot	Pratyush Kumar ShekharⒸ , Ananya ThakurⓉ
oh please	—	4th	Closing Government	View Ballot	Pratyush Kumar ShekharⒸ , Ananya ThakurⓉ
Swing 1	—	1st	Closing Opposition	View Ballot	Pratyush Kumar ShekharⒸ , Ananya ThakurⓉ
XLRI Xlerate	XLRIJ	3rd	Opening Government	View Ballot	Prosper Michael AmetuⒸ , Aryennh Kulkarni , Vikrant Pandey
Good Cop Bad Cop	CUB	1st	Opening Opposition	View Ballot	Prosper Michael AmetuⒸ , Aryennh Kulkarni , Vikrant Pandey
Pados ki auntiyan	MNLU	2nd	Closing Government	View Ballot	Prosper Michael AmetuⒸ , Aryennh Kulkarni , Vikrant Pandey
That&#x27;s Irrelephant	RCL	4th	Closing Opposition	View Ballot	Prosper Michael AmetuⒸ , Aryennh Kulkarni , Vikrant Pandey
RVCE E	RVCE	4th	Opening Government	View Ballot	Meghana SrinivasⒸ , Jahnavi Rishikesh , Priya Shukla
Team Redundancy Team	BITSP	1st	Opening Opposition	View Ballot	Meghana SrinivasⒸ , Jahnavi Rishikesh , Priya Shukla
Trained by Michael scott	DNLU	2nd	Closing Government	View Ballot	Meghana SrinivasⒸ , Jahnavi Rishikesh , Priya Shukla
We hate debating	UPES	3rd	Closing Opposition	View Ballot	Meghana SrinivasⒸ , Jahnavi Rishikesh , Priya Shukla
Last Minute	RVCE	4th	Opening Government	View Ballot	Dylan SalcedoⒸ , Archit Lahiri
Grand Theft Auto	GNLU	3rd	Opening Opposition	View Ballot	Dylan SalcedoⒸ , Archit Lahiri
Kya Rakhe Naam	SXCK	2nd	Closing Government	View Ballot	Dylan SalcedoⒸ , Archit Lahiri
The ConChordants	MSE	1st	Closing Opposition	View Ballot	Dylan SalcedoⒸ , Archit Lahiri
Marx-less Marksheet	SXCK	3rd	Opening Government	View Ballot	Pushpit SinghⒸ , Gautam ChauhanⓉ
NUJS	NUJS	1st	Opening Opposition	View Ballot	Pushpit SinghⒸ , Gautam ChauhanⓉ
BP is the because	SXCK	4th	Closing Government	View Ballot	Pushpit SinghⒸ , Gautam ChauhanⓉ
Kheech Lenge	NLIUB	2nd	Closing Opposition	View Ballot	Pushpit SinghⒸ , Gautam ChauhanⓉ
Anything Goes	GLCM	4th	Closing Government	View Ballot	Abhirup MannaⒸ , Hemant singh rajawat , Shreya Sahi
UPLB Teambulan	UPLB	3rd	Opening Government	View Ballot	Chu Đức AnⒸ , ANGAD MATHARU , Ron Simon LomibaoⓉ
Dumb and Dumber	BITSG	1st	Opening Opposition	View Ballot	Chu Đức AnⒸ , ANGAD MATHARU , Ron Simon LomibaoⓉ
Current Status Quo	—	4th	Closing Government	View Ballot	Chu Đức AnⒸ , ANGAD MATHARU , Ron Simon LomibaoⓉ
tea&amp;coffee	SXCK	2nd	Closing Opposition	View Ballot	Chu Đức AnⒸ , ANGAD MATHARU , Ron Simon LomibaoⓉ
Drop ur letterboxd	SLSP	3rd	Opening Government	View Ballot	Keerthivasan SⒸ , Rajyawardhan Singh , ShrutiⓉ
NLS Grr	NLSIU	2nd	Opening Opposition	View Ballot	Keerthivasan SⒸ , Rajyawardhan Singh , ShrutiⓉ
Monday Spar	—	4th	Closing Government	View Ballot	Keerthivasan SⒸ , Rajyawardhan Singh , ShrutiⓉ
RVCE B	RVCE	1st	Closing Opposition	View Ballot	Keerthivasan SⒸ , Rajyawardhan Singh , ShrutiⓉ
FanbaseofXiaoke	—	4th	Opening Government	View Ballot	Jayeesh AroraⒸ , Cherishma , Souritri SantraⓉ
TRUE	SLSP	2nd	Opening Opposition	View Ballot	Jayeesh AroraⒸ , Cherishma , Souritri SantraⓉ
Sabki Pasand Nirma!	VIT	1st	Closing Government	View Ballot	Jayeesh AroraⒸ , Cherishma , Souritri SantraⓉ
Comeback ng mga anti-man na kalahok	DLSU SHS	3rd	Closing Opposition	View Ballot	Jayeesh AroraⒸ , Cherishma , Souritri SantraⓉ
Hope-less	CUB	4th	Closing Government	View Ballot	Snigdha PriyadarshiniⒸ , Anusha Jain , Aleena PaulⓉ
Osaka A	OU	1st	Closing Opposition	View Ballot	Snigdha PriyadarshiniⒸ , Anusha Jain , Aleena PaulⓉ
Old Monk x Ice Burst	—	2nd	Opening Opposition	View Ballot	Prashasti SaxenaⒸ , Surabhi SureshⓉ
We’re mostly adjes if we don’t brea	—	2nd	Opening Government	View Ballot	Kritadnya KalingⒸ , Aayana Rai Bhojani , Sakshi KasalaⓉ
Stanford AS	SU	1st	Opening Opposition	View Ballot	Kritadnya KalingⒸ , Aayana Rai Bhojani , Sakshi KasalaⓉ
GLC-SXC Cross	—	3rd	Closing Government	View Ballot	Kritadnya KalingⒸ , Aayana Rai Bhojani , Sakshi KasalaⓉ
MiniMorty and Bigger Makmak	DLSU SHS	4th	Closing Opposition	View Ballot	Kritadnya KalingⒸ , Aayana Rai Bhojani , Sakshi KasalaⓉ
Nicotine 2.0	JGU	4th	Opening Government	View Ballot	Therese GenotaⒸ , Acharaj Kaur Tuteja , Priyal NandaⓉ
Getting rekt	—	3rd	Opening Opposition	View Ballot	Therese GenotaⒸ , Acharaj Kaur Tuteja , Priyal NandaⓉ
MH	MHUD	1st	Closing Government	View Ballot	Therese GenotaⒸ , Acharaj Kaur Tuteja , Priyal NandaⓉ
Washing Powder Nirma	VIT	2nd	Closing Opposition	View Ballot	Therese GenotaⒸ , Acharaj Kaur Tuteja , Priyal NandaⓉ
