Rk	team	categories	institution	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
74	A2A Debaters		CUB	3rd	2nd	4th	2nd	—	5	619	0	2
75	Vikings	Novice	—	4th	1st	3rd	4th	4th	4	751	1	0
76	Chicken wings	Novice	RCL	4th	3rd	3rd	4th	2nd	4	751	0	1
77	Objection	Novice	GLCM	2nd	4th	3rd	4th	3rd	4	749	0	1
78	oh please	Novice	—	3rd	4th	4th	4th	1st	4	743	1	0
79	Team Redundancy Team	Novice	BITSP	3rd	4th	1st	4th	—	4	614	1	0
80	Swing 5		—	1st	—	—	—	3rd	4	306	1	0
81	Malaysia For Dummies		—	1st	3rd	—	—	—	4	305	1	0
82	Crispy dosa	Novice	GLCM	4th	3rd	2nd	4th	4th	3	749	0	1
83	Banashankari bois	Novice	PESU	4th	4th	3rd	2nd	4th	3	740	0	1
84	Rangeen kapda bhi kheel kheel jaye	Novice	VIT	3rd	—	—	—	2nd	3	300	0	1
85	Nehal Yadav	Novice	DNLU	4th	3rd	4th	3rd	—	2	594	0	0
86	Not Bad Debaters	Novice	NLIUB	4th	3rd	3rd	4th	—	2	593	0	0
87	Swing 2		—	3rd	4th	—	—	3rd	2	447	0	0
88	Breaking Bad	Novice	HNLU	3rd	3rd	—	—	—	2	297	0	0
89	KKAD-BURY	Novice	HNLU	2nd	—	—	—	—	2	153	0	1
90	Swing 4		—	3rd	—	—	—	4th	1	299	0	0
91	The Invincibles	Novice	SXCK	4th	3rd	—	—	—	1	298	0	0
92	Debate Nerds	Novice	GLCM	4th	4th	4th	4th	4th	0	725	0	0
93	Swing 3		—	4th	—	—	—	4th	0	301	0	0
94	Swing 6		—	—	—	—	—	4th	0	143	0	0
