team	institution	result	side	adjudicators
The ConChordants	MSE	eliminated	Opening Government	Prashasti SaxenaⒸ , Aditi Singhal , Archit Lahiri , Cici Liu , Sam Unabia
RVCE C	RVCE	eliminated	Opening Opposition	Prashasti SaxenaⒸ , Aditi Singhal , Archit Lahiri , Cici Liu , Sam Unabia
RVCE B	RVCE	advancing	Closing Government	Prashasti SaxenaⒸ , Aditi Singhal , Archit Lahiri , Cici Liu , Sam Unabia
The Knights	JGU	eliminated	Closing Opposition	Prashasti SaxenaⒸ , Aditi Singhal , Archit Lahiri , Cici Liu , Sam Unabia
