Rk	break	team	Pts	Spk	1sts	2nds	DS
1	(different break)	Pennsylvania 1	14	955.00	4	1	182
2	1	Cornell 2	13	1101.00	3	1	249
3	2	Stanford 4	13	1062.00	4	0	206
4	3	Hart House 8	12	1086.00	2	1	230
5	4	Dartmouth 2	12	1080.00	1	4	210
6	5	McGill 6	12	1073.00	2	2	240
7	6	Princeton 7	12	1034.00	3	1	187
8	7	USC 2	11	1082.00	1	3	229
9	8	EDS 3	11	1071.00	2	1	199
