Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	Pts	Spk	1sts	2nds	DS
70	USC 1		2nd	1st	4th	4th	2nd	4th	2nd	9	1069	1	3	212
71	Hart House 7		1st	4th	1st	4th	4th	2nd	3rd	9	1066	2	1	217
72	Hart House 11		2nd	3rd	4th	2nd	1st	4th	3rd	9	1060	1	2	212
73	Alberta 2		2nd	4th	3rd	2nd	4th	3rd	1st	9	1058	1	2	184
74	Waterloo 3	Novice	3rd	2nd	1st	3rd	3rd	4th	3rd	9	1058	1	1	223
75	Western 2		3rd	3rd	2nd	3rd	3rd	2nd	3rd	9	1048	0	2	192
76	Northwestern 2		4th	3rd	2nd	3rd	3rd	2nd	2nd	9	1045	0	3	190
77	Cornell 3	Novice	3rd	1st	2nd	4th	4th	1st	4th	9	1042	2	1	206
78	TEC CEM 1		4th	3rd	2nd	1st	4th	4th	1st	9	1040	2	1	199
79	McGill 5	Novice	3rd	4th	1st	3rd	2nd	4th	2nd	9	1026	1	2	200
80	Berkeley 2		4th	2nd	4th	1st	4th	3rd	1st	9	1020	2	1	175
81	Calgary 2		2nd	2nd	3rd	2nd	4th	4th	2nd	9	1014	0	4	216
82	Chicago 2	Novice	—	2nd	2nd	3rd	1st	3rd	4th	9	909	1	2	174
83	Princeton 6		2nd	2nd	4th	4th	2nd	3rd	3rd	8	1062	0	3	215
84	Western 5	Novice	2nd	4th	1st	3rd	2nd	4th	4th	8	1052	1	2	213
85	UCLA 2		1st	2nd	3rd	3rd	4th	3rd	4th	8	1052	1	1	238
86	Princeton 2	Novice	1st	3rd	3rd	4th	3rd	2nd	4th	8	1050	1	1	224
87	HWS 4		3rd	3rd	4th	2nd	2nd	2nd	4th	8	1044	0	3	180
88	Western 6	Novice	3rd	3rd	4th	4th	1st	1st	4th	8	1039	2	0	178
89	Cornell 1		3rd	2nd	4th	1st	3rd	4th	3rd	8	1033	1	1	211
90	Queen&#x27;s 6		2nd	4th	3rd	4th	4th	2nd	1st	8	1032	1	2	191
91	Dartmouth 3	Novice	4th	2nd	4th	4th	2nd	1st	3rd	8	1023	1	2	171
92	Swarthmore 2	Novice	2nd	3rd	3rd	4th	2nd	4th	2nd	8	1023	0	3	190
93	Carleton 1		4th	3rd	3rd	4th	4th	1st	1st	8	1007	2	0	153
94	Swing 2		4th	—	—	—	1st	1st	2nd	8	605	2	1	71
95	Calgary 6	Novice	4th	3rd	4th	2nd	3rd	1st	4th	7	1037	1	1	169
96	Middlebury 2	Novice	1st	4th	2nd	4th	4th	4th	2nd	7	1034	1	2	211
97	Calgary 3		4th	2nd	3rd	2nd	3rd	4th	3rd	7	1030	0	2	193
98	Alberta 5	Novice	4th	4th	4th	4th	2nd	2nd	1st	7	1015	1	2	157
99	Swarthmore 1		4th	3rd	2nd	4th	3rd	2nd	3rd	7	1012	0	2	173
100	HWS 3	Novice	4th	2nd	4th	3rd	1st	3rd	4th	7	1007	1	1	194
101	Calgary 4		2nd	4th	3rd	3rd	4th	3rd	3rd	6	1028	0	1	190
102	Alberta 1		4th	3rd	3rd	3rd	2nd	3rd	4th	6	1020	0	1	181
103	HWS 2	Novice	4th	4th	1st	3rd	4th	4th	2nd	6	1018	1	1	160
104	UBC 4	Novice	4th	1st	4th	3rd	2nd	4th	4th	6	1006	1	1	192
105	Alberta 6	Novice	3rd	4th	2nd	4th	2nd	3rd	4th	6	1004	0	2	186
106	Carleton 3	Novice	4th	4th	3rd	1st	3rd	4th	4th	5	1013	1	0	163
107	Rochester 2	Novice	4th	4th	2nd	2nd	3rd	4th	4th	5	1012	0	2	169
108	Calgary 5	Novice	3rd	4th	3rd	3rd	4th	3rd	3rd	5	994	0	0	184
109	Colby 1		4th	3rd	4th	3rd	3rd	2nd	4th	5	987	0	1	165
110	HWS 1		3rd	4th	4th	2nd	4th	4th	3rd	4	986	0	1	158
111	Columbia 3	Novice	3rd	4th	4th	4th	4th	3rd	2nd	4	980	0	1	153
112	Stanford 3		4th	2nd	3rd	3rd	—	—	—	4	609	0	1	119
113	HWS 6		4th	4th	4th	3rd	3rd	4th	4th	2	970	0	0	154
114	Swing 3		3rd	—	—	—	—	—	—	1	153	0	0	30
