team	result	side	adjudicators
Stanford 1	advancing	Opening Government	Martha McKinney-PerryⒸ , Barron Junteng Ren 🐷 , Emma Jones , Mauricio Jarufe Caballero , Varun Lodaya
Rochester 1	advancing	Opening Opposition	Martha McKinney-PerryⒸ , Barron Junteng Ren 🐷 , Emma Jones , Mauricio Jarufe Caballero , Varun Lodaya
Harvard 1	eliminated	Closing Government	Martha McKinney-PerryⒸ , Barron Junteng Ren 🐷 , Emma Jones , Mauricio Jarufe Caballero , Varun Lodaya
McGill 2	eliminated	Closing Opposition	Martha McKinney-PerryⒸ , Barron Junteng Ren 🐷 , Emma Jones , Mauricio Jarufe Caballero , Varun Lodaya
EDS 1	eliminated	Opening Government	Patrick Cowley🐍Ⓒ , Anette Xia , Arjun Raman , Caitlin Mah , Tanay Patri
McGill 1	advancing	Opening Opposition	Patrick Cowley🐍Ⓒ , Anette Xia , Arjun Raman , Caitlin Mah , Tanay Patri
UCLA 1	eliminated	Closing Government	Patrick Cowley🐍Ⓒ , Anette Xia , Arjun Raman , Caitlin Mah , Tanay Patri
Stanford 6	advancing	Closing Opposition	Patrick Cowley🐍Ⓒ , Anette Xia , Arjun Raman , Caitlin Mah , Tanay Patri
