name	adjcore	independent
Julio Meyer 🐍		
Dan Lahav		
Harish Natarajan		
Lucía Arce Cubas 👑🔥🤩❤️😩🥂🤯		
Adjudicator 1		
Nick Zervoudis		
Kiana Saint-Macary		
Dani Georgiev		
Parth Maniktala		
Adel Ahmed		
Monica Forman		
Ishaan Kapoor		
Ayal Hayut-Man 🐸		
Archie Hall 🦅		
Adjudicator 2		
Alfred Goh		
Adjudicator 44		
Amrit Agastia		
Boby Andika Ruitang		
Banun Sabri		
Razzaq Fazail		
Angela Portocarrero		
Annie Hazelton		
Andrew Moore		
Andre Castaing		
Alexander Beaumont		
Arinah Said		
Alexander Gordon		
Adjudicator 88		
Asif Hassan		
Beiqi Chen		
Amirul Asyraf		
Asinyo Antonio		
Jun Tae Park		
Jessica Musulin 🌶️		
Cliff Simataa 🍆		
Adjudicator 254		
Hannah Taylor		
Brynde Kreft		
Daniel Yim		
Eric Zhao		
Desmond Fairall		
Emma Buckland		
Huyen Nguyen		
Ilija Ivanišević		
Jehannah May		
David Wu		
Gil Peled		
Hilmy Yazid		
Elaye Karstadt		
Christof Kebschull		
Isabelle Woodforde		
Diego Duarte		
Charlotte Massey		
Danielle Swanepoel		
Grace Amilbangsa		
David Benardy		
Isabella Monardo		
Chlöe Shahinian		
Devashish Trivedi		
Fionuala McCarron		
Deena Mousa		
Adjudicator 225		
Adjudicator 18		
Adjudicator 27		
Ooi Hon Son		
Rosie Nadaraj		
Noam Dahan		
Sarah Tay		
Mubarrat Wassey		
Ryan Patrick Thalari		
Lovro Šprem		
Mary Pirozek		
Phil Gracen		
Luke Churchyard		
Oliver Cummins		
Laura Gilbertson		
Melda Eren		
John Hunt		
Roy Schulman		
Kimberley Tegjeu		
Mahherrajan Narayanan		
Juan Vargas		
Maya Eswaran		
Adjudicator 4		
Adjudicator 220		
Lena Kolle 🐻		
Montserrat Legorreta		
Marlene Pierce		
Katherine Harris		
Samkele Monakali		
Pranav Kagalkar		
Adjudicator 234		
Teck Wei Tan		
Sella Nevo		
Tom Manor		
Yarn Shih		
Sebastian Dasso		
Sterling Higa		
Sheraz Qureshi		
Seyoung Jeon		
Vinodhan Kuppusamy		
Viha Gopakumar		
Vivian Zhu 💅		
Vishakha Raj		
Senkai Hsia		
Sophie Jaggar		
Seokho Daniel Yoon		
Tomas Frankham		
Shudipto Ahmed		
Thabo Mngadi		
Adjudicator 253		
Adjudicator 149		
Adjudicator 94		
Ameera Natasha Moore		
