Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	R8	R9	Total	Avg	Stdev	Num
110=	Ruth Silcoff		McGill B	79	79	79	81	78	79	79	81	80	715	79.44	0.96	9
110=	Thomas Shortridge		Sydney C	75	81	80	79	82	80	79	79	80	715	79.44	1.83	9
110=	Shreyas Kumar		Princeton B	78	79	80	77	82	83	80	77	79	715	79.44	1.95	9
110=	Micaela Lewis		McGill A	77	78	78	81	80	82	74	84	81	715	79.44	2.83	9
110=	Nimaya Harris		HKU A	78	80	78	82	79	73	82	80	83	715	79.44	2.83	9
110=	Devesh Kodnani		Chicago A	79	81	75	79	80	81	79	81	80	715	79.44	1.77	9
110=	Salil Mitra		Duke A	78	81	82	80	77	78	77	81	81	715	79.44	1.83	9
110=	Vikki Perijainen		Harvard D	78	81	76	79	82	83	78	75	83	715	79.44	2.79	9
110=	Tiffany Yuan		Hopkins A	79	82	78	77	80	82	78	79	80	715	79.44	1.64	9
110=	Ellie Singer		Yale B	80	81	80	78	82	75	80	83	76	715	79.44	2.50	9
120=	Kevin Yap		HKU A	76	80	79	82	79	74	83	79	82	714	79.33	2.75	9
120=	Gautier Boyrie		Hart House B	79	80	82	79	80	78	79	76	81	714	79.33	1.63	9
120=	Antonio Fabregat	ESL	UDIMA A	78	79	83	79	77	78	79	82	79	714	79.33	1.83	9
123=	Ella Feiner		Princeton C	78	82	84	78	76	77	78	79	81	713	79.22	2.44	9
123=	Jack Kennedy		TCD Hist A	77	80	79	78	80	79	80	83	77	713	79.22	1.75	9
123=	Ye Joo Han	ESL	Harvard D	76	81	78	77	81	82	80	77	81	713	79.22	2.10	9
123=	Isaac Boakye	ESL	Kwame Nkrumah B	77	78	78	80	80	82	80	81	77	713	79.22	1.69	9
123=	Subra Nara		SMU A	79	79	79	78	80	77	81	81	79	713	79.22	1.23	9
123=	Maya Saveliev	ESL	OU Israel A	79	78	77	78	77	79	81	81	83	713	79.22	1.93	9
129=	Speaker 1		Sydney F	85	77	81	78	81	75	79	82	74	712	79.11	3.31	9
129=	Alan Zhang		Cambridge B	80	79	81	77	82	78	78	81	76	712	79.11	1.91	9
129=	Wingel Xue		Hopkins A	78	82	77	77	79	81	79	79	80	712	79.11	1.59	9
129=	Huiyi Lu		SMU A	80	80	81	77	79	77	80	79	79	712	79.11	1.29	9
133=	Yael Lewis		McGill A	76	78	78	79	81	82	74	83	80	711	79.00	2.71	9
133=	Asif Mehedi	ESL	North South A	79	80	78	78	81	79	81	77	78	711	79.00	1.33	9
133=	Sarah Wheaton		Swarthmore A	80	79	78	82	75	81	77	78	81	711	79.00	2.11	9
133=	Hans Wong		De La Salle A	78	78	79	83	78	79	78	81	77	711	79.00	1.76	9
137=	Declan Schillert		UT Sydney A	80	78	82	78	78	78	82	78	76	710	78.89	1.91	9
137=	Bobby Clark		ANU B	78	81	80	81	76	77	79	76	82	710	78.89	2.13	9
137=	Drew Harrington		Chicago A	79	80	74	79	79	81	77	80	81	710	78.89	2.08	9
137=	Roberto Breitman		Tufts A	79	83	78	78	81	80	77	78	76	710	78.89	2.02	9
137=	Jonathon Bolton		Queensland A	77	77	82	80	80	76	80	78	80	710	78.89	1.85	9
137=	Har Naveenjeet Singh	ESL	Taylor&#x27;s A	78	75	80	82	73	80	78	84	80	710	78.89	3.18	9
137=	Andrew Chizewer		Stanford A	78	77	78	81	78	76	80	79	83	710	78.89	2.02	9
137=	Atlehang Molefe	ESL	Witwatersrand A	79	71	80	82	79	80	78	80	81	710	78.89	3.00	9
137=	Hadar Goldberg	ESL	OU Israel A	78	77	75	77	79	78	80	82	84	710	78.89	2.60	9
146=	Leah Mercier		New South Wales A	79	75	78	81	80	79	76	82	79	709	78.78	2.10	9
146=	Annie Abruzzo		Swarthmore A	79	79	77	82	75	82	78	77	80	709	78.78	2.20	9
146=	Tasia Khairunnisa Azzahra	ESL	Taylor&#x27;s A	79	76	81	80	72	80	79	81	81	709	78.78	2.82	9
149=	Jack Synnott		TCD Hist B	77	78	82	78	80	77	79	78	79	708	78.67	1.49	9
149=	Amna Amin		Princeton C	76	83	83	76	77	77	79	78	79	708	78.67	2.54	9
149=	Miraz Rahman	ESL	North South A	79	80	79	77	80	78	81	77	77	708	78.67	1.41	9
149=	Vincentius Michael	ESL, EFL	IT Bandung A	80	81	77	78	78	78	81	77	78	708	78.67	1.49	9
149=	James Cafferky		TCD Phil B	79	80	78	80	80	81	72	80	78	708	78.67	2.54	9
149=	Aodh Ó Laoide		TCD Hist B	76	78	82	77	82	78	78	77	80	708	78.67	2.05	9
149=	Emma Jones		Alberta A	79	80	77	77	79	80	76	81	79	708	78.67	1.56	9
149=	Gaeun Park	ESL	Korea A	81	78	86	78	77	73	80	77	78	708	78.67	3.33	9
149=	Nick DeVito		Tufts A	78	83	79	79	81	79	76	78	75	708	78.67	2.26	9
149=	Jorge Portocarrero	ESL, EFL	Rosario A	76	77	79	82	81	80	77	74	82	708	78.67	2.67	9
149=	Juanita Hincapie	ESL, EFL	Rosario A	76	76	80	80	80	81	78	75	82	708	78.67	2.36	9
149=	Asher Spector		Harvard C	82	79	80	75	78	75	81	78	80	708	78.67	2.31	9
149=	Dennis Su		Northeastern USA A	75	79	78	76	78	80	81	79	82	708	78.67	2.11	9
149=	Cheyenne Ong		LSE B	80	77	77	80	77	76	77	83	81	708	78.67	2.26	9
149=	Rowan Ley		Alberta B	80	80	80	76	80	83	80	72	77	708	78.67	3.02	9
149=	Javier de la Puerta Cresis	ESL, EFL	UDIMA A	77	78	82	78	78	77	78	81	79	708	78.67	1.63	9
165=	Thomas Stevens		UT Sydney A	78	78	82	79	79	77	79	77	78	707	78.56	1.42	9
165=	Yoonchan Koo	ESL	Seoul B	79	81	76	77	78	77	80	76	83	707	78.56	2.27	9
165=	Boris Lam		Monash Australia A	74	77	80	80	79	83	78	77	79	707	78.56	2.36	9
165=	Corey Davidson		Queen&#x27;s A	79	81	80	77	78	77	80	81	74	707	78.56	2.17	9
165=	Tanay Patri		Northeastern USA A	75	78	76	77	79	80	81	80	81	707	78.56	2.06	9
165=	Hannah Cook		Durham B	77	82	75	78	77	77	82	80	79	707	78.56	2.27	9
171=	Kate Dewey		Cape Town A	78	79	83	79	78	79	77	73	80	706	78.44	2.50	9
171=	Deepak Manchikanti		Monash Australia A	75	77	79	80	81	83	77	75	79	706	78.44	2.54	9
171=	Rosie Vorri		Durham B	78	81	75	77	76	76	82	82	79	706	78.44	2.54	9
171=	Marta Vasic	ESL, EFL	Belgrade B	78	76	78	79	79	80	76	78	82	706	78.44	1.77	9
171=	Chantel Morris		Queensland B	78	77	78	79	77	77	79	84	77	706	78.44	2.11	9
171=	Raj Bains		Alberta B	78	79	80	75	79	82	81	75	77	706	78.44	2.31	9
177=	Sean Tse		Melbourne B	78	78	77	79	82	78	79	76	78	705	78.33	1.56	9
177=	Mikey Xu		New South Wales A	79	76	76	80	79	79	77	80	79	705	78.33	1.49	9
177=	James Pan		Monash Australia B	80	75	81	78	76	79	81	77	78	705	78.33	2.00	9
177=	Nicole O&#x27;Sullivan		TCD Phil B	79	77	80	78	80	80	74	80	77	705	78.33	1.94	9
177=	Assaph Hanany	ESL	Tel Aviv B	76	77	78	78	83	79	81	77	76	705	78.33	2.21	9
177=	Elisheva Madar		ANU C	75	80	77	75	76	80	80	79	83	705	78.33	2.58	9
177=	Iman Hassan	ESL	UT MARA B	78	78	79	76	80	77	77	80	80	705	78.33	1.41	9
177=	Denise Tan		De La Salle A	77	78	79	82	78	78	77	79	77	705	78.33	1.49	9
185=	Zachary Wong		Auckland C	81	82	76	78	80	79	75	76	77	704	78.22	2.30	9
185=	Caitríona O&#x27;Brien		TCD Hist A	76	80	78	77	80	78	78	80	77	704	78.22	1.40	9
185=	Nadav Cornblum	ESL	Tel Aviv B	76	77	79	79	81	80	80	77	75	704	78.22	1.93	9
185=	Georgie Price		ANU C	79	79	77	74	76	79	78	80	82	704	78.22	2.20	9
185=	Patrick Cowley		Queen&#x27;s A	78	80	79	80	78	76	80	79	74	704	78.22	1.93	9
185=	Lehakoe Masedi	ESL	Free State A	79	79	83	81	74	75	77	80	76	704	78.22	2.78	9
185=	Susie Garcia		Stanford E	78	79	79	81	81	81	77	72	76	704	78.22	2.78	9
185=	Leomar Doctolero	ESL	Solbridge A	79	79	78	77	79	82	69	82	79	704	78.22	3.61	9
185=	Nikola Michaylov	ESL	Amsterdam A	78	79	84	74	79	76	79	77	78	704	78.22	2.57	9
194=	Jaeho Song	ESL	Korea A	81	80	84	77	77	74	78	75	77	703	78.11	2.92	9
194=	Josef Moscovici	ESL	Berlin C	76	76	78	80	79	78	80	77	79	703	78.11	1.45	9
194=	Speaker 2	ESL	Jeans	78	79	75	75	79	82	76	82	77	703	78.11	2.51	9
197=	Micaella Rogers		Cape Town A	77	79	82	79	78	79	77	73	78	702	78.00	2.26	9
197=	Gordon Stearns		Bard A	79	81	79	81	78	77	75	76	76	702	78.00	2.05	9
197=	Alice May Jones		Auckland C	82	81	76	76	79	80	73	78	77	702	78.00	2.67	9
197=	Dimitri Nilov	ESL	MGIMO A	83	77	79	79	79	74	76	78	77	702	78.00	2.36	9
197=	Zoe Ewing		Columbia B	78	79	81	78	77	78	77	79	75	702	78.00	1.56	9
197=	Joshua Daniels		York B	77	79	79	76	79	82	78	77	75	702	78.00	1.94	9
197=	Samuel Scheuer	ESL	Streitkultur A	81	78	77	77	76	79	82	78	74	702	78.00	2.31	9
197=	Bart Lahiff		HWS A	78	78	77	78	80	79	80	75	77	702	78.00	1.49	9
197=	Pei Song Seah		SMU B	77	78	78	79	78	78	82	78	74	702	78.00	1.94	9
206=	Seunghun Brian Jung		Seoul A	76	76	81	79	79	73	78	79	80	701	77.89	2.33	9
206=	Sophie Bannon		TCD Phil A	78	77	80	80	79	77	79	77	74	701	77.89	1.79	9
206=	Karel Brandenbarg		Alberta A	77	78	77	76	81	81	77	77	77	701	77.89	1.73	9
206=	Miri Muntean	ESL, EFL	Vienna A	80	79	81	82	81	77	75	71	75	701	77.89	3.45	9
206=	Danesh Aggarwal	ESL	Malaya A	77	70	78	80	79	75	83	79	80	701	77.89	3.48	9
206=	Adi Ram		Chicago B	76	80	76	79	80	78	78	76	78	701	77.89	1.52	9
206=	Kanishk Garg	ESL	West Bengal A	80	77	75	74	78	79	79	79	80	701	77.89	2.02	9
206=	Sameeksha Rao		RVCE B	78	81	79	73	80	75	77	80	78	701	77.89	2.42	9
206=	Mfumo Bamuza	ESL	Witwatersrand A	77	73	78	79	79	79	78	78	80	701	77.89	1.91	9
206=	Speaker 1		Queensland B	77	77	81	78	75	77	79	80	77	701	77.89	1.73	9
206=	Abishek Sankar	ESL	West Bengal A	82	76	76	74	78	80	78	78	79	701	77.89	2.23	9
206=	Aika Miyazawa	ESL, EFL	ICU A	78	81	76	78	76	75	78	79	80	701	77.89	1.85	9
218=	Audrey Lee	ESL	Monash Malaysia A	76	78	75	77	80	78	79	76	81	700	77.78	1.87	9
218=	Klaudia Maciejewska	ESL, EFL	Jagiellonian A	79	77	76	77	77	80	78	76	80	700	77.78	1.47	9
218=	Sunghyun Park	ESL, EFL	Seoul B	77	81	76	77	78	76	79	76	80	700	77.78	1.75	9
218=	Ryan Grunwell		TCD Phil A	78	78	82	78	78	75	80	76	75	700	77.78	2.15	9
218=	Elaine He		Brown A	81	79	75	76	78	77	76	79	79	700	77.78	1.81	9
218=	Zazuan Daud	ESL	UT MARA B	78	78	78	76	79	76	77	80	78	700	77.78	1.23	9
218=	Speaker 1		Chicago D	80	77	76	78	81	77	76	77	78	700	77.78	1.62	9
218=	Akashraj Murthy	ESL	RVCE B	75	81	80	73	81	74	77	80	79	700	77.78	2.94	9
226=	Parshva Shah		IIT Bombay A	75	77	79	74	76	81	80	78	79	699	77.67	2.21	9
226=	Annie Schwartz	ESL	Tel Aviv C	76	77	75	80	77	76	78	82	78	699	77.67	2.05	9
226=	Sally Lee	ESL	Solbridge A	77	80	79	77	78	81	69	80	78	699	77.67	3.33	9
226=	Sarim Karim		HWS A	78	77	76	79	78	78	79	76	78	699	77.67	1.05	9
226=	Djordje Radosavljevic	ESL, EFL	Belgrade B	78	73	77	80	78	80	74	78	81	699	77.67	2.54	9
226=	Adil Hakeem		SMU B	76	77	77	79	77	78	82	79	74	699	77.67	2.11	9
226=	Speaker 1	ESL	Jeans	78	78	75	75	79	82	75	81	76	699	77.67	2.49	9
226=	Calyxx Peucker	ESL	Berlin C	75	75	77	78	80	79	79	76	80	699	77.67	1.89	9
234=	Alex Gagne		British Columbia A	77	77	76	78	75	80	76	79	80	698	77.56	1.71	9
234=	Maya Benziger		Bates B	77	78	78	78	78	78	75	78	78	698	77.56	0.96	9
234=	Dylan Gyauch-Lewis		Bates B	76	77	79	77	77	79	77	77	79	698	77.56	1.07	9
234=	Koji Flynn-Do		Swarthmore B	77	77	78	81	76	78	77	80	74	698	77.56	1.95	9
234=	Shadman Karim	ESL	North South B	76	76	81	82	75	81	75	75	77	698	77.56	2.75	9
234=	Speaker 1		Edinburgh A	78	83	75	80	78	79	73	71	81	698	77.56	3.65	9
234=	Sharwin Mohammad Mohan	ESL	Malaya A	76	68	79	81	78	74	83	79	80	698	77.56	4.19	9
234=	Gaurav Gawankar		George Washington A	75	78	78	78	82	79	77	78	73	698	77.56	2.36	9
242=	Vatsal Khetan		IIT Bombay A	74	79	78	75	77	79	80	77	78	697	77.44	1.83	9
242=	Hikaru Hotta	ESL	ICU A	76	82	75	78	75	74	77	80	80	697	77.44	2.59	9
242=	Hanum Amalia	ESL, EFL	Gadjah Mada A	78	79	76	74	77	77	79	80	77	697	77.44	1.71	9
242=	Mamoon Sabri	ESL	NUST A	76	76	76	77	78	78	81	75	80	697	77.44	1.89	9
242=	Tamkeen Nawab	ESL	Cambridge C	79	77	79	74	76	80	74	81	77	697	77.44	2.36	9
242=	Ethan Limkakeng	ESL	De La Salle B	75	78	79	72	75	81	80	77	80	697	77.44	2.79	9
242=	Krzysztof Jaron	ESL, EFL	Jagiellonian A	78	78	75	77	77	79	78	75	80	697	77.44	1.57	9
249=	Zaid Abro	ESL	Lahore Management B	78	77	78	80	74	74	79	76	80	696	77.33	2.16	9
249=	Niki Linganur		Rochester A	77	77	77	78	77	78	77	77	78	696	77.33	0.47	9
249=	Kirill Tamogashev	ESL, EFL	MGIMO A	82	75	78	79	78	75	76	77	76	696	77.33	2.11	9
249=	Matija Pušnik	ESL	Ljubljana A	80	79	77	75	76	76	78	79	76	696	77.33	1.63	9
249=	Adi Jayakrishnan		Swarthmore B	78	77	77	80	76	78	77	78	75	696	77.33	1.33	9
249=	Ethan Curry		Western Ontario A	77	78	75	78	81	80	80	71	76	696	77.33	2.91	9
249=	Speaker 1	ESL	Free State A	77	77	82	80	75	74	76	79	76	696	77.33	2.40	9
249=	Carson Crane		Cornell A	76	77	75	80	76	78	81	78	75	696	77.33	2.00	9
249=	Enshia Li		Stanford E	77	79	76	79	82	79	77	71	76	696	77.33	2.87	9
249=	Violet Sinnarkar		Berkeley A	75	78	74	77	80	78	78	78	78	696	77.33	1.70	9
249=	Adrian Lask	ESL	British Columbia A	77	75	76	79	76	80	75	79	79	696	77.33	1.83	9
249=	Nayara Noor	ESL	BRAC A	78	76	77	76	74	77	81	78	79	696	77.33	1.89	9
249=	Manasir Jisam	ESL	IIUM A	75	77	74	78	80	75	78	78	81	696	77.33	2.21	9
262=	Hadley Parum		Bard A	76	80	77	79	79	78	73	78	75	695	77.22	2.10	9
262=	Chris Morillo		Brown B	81	82	78	76	75	76	76	76	75	695	77.22	2.44	9
262=	Juan Carlos Gonzalez		Wollongong B	75	75	75	79	81	76	77	79	78	695	77.22	2.04	9
262=	Farhan Musa		NUS B	79	78	76	78	77	80	77	72	78	695	77.22	2.15	9
262=	Mohammad Akbar	ESL, EFL	IT Bandung A	78	77	76	77	77	76	79	77	78	695	77.22	0.92	9
262=	Hafiz Muh Riza	ESL	UT MARA A	74	78	75	79	78	76	79	78	78	695	77.22	1.69	9
262=	Speaker 2		Chinese UHK A	78	76	77	77	75	78	79	75	80	695	77.22	1.62	9
262=	Christine Shao		NYU Abu Dhabi A	76	77	78	79	73	79	80	76	77	695	77.22	1.99	9
262=	Bob Ngai		Monash Australia B	79	76	78	77	75	76	80	77	77	695	77.22	1.47	9
262=	Sandy Greenberg		Brown A	80	79	73	77	77	76	76	79	78	695	77.22	1.99	9
262=	Rok Hafner	ESL	Ljubljana A	81	77	77	75	76	77	77	79	76	695	77.22	1.69	9
262=	Varun Venkatesh		Columbia B	77	79	78	77	78	79	75	77	75	695	77.22	1.40	9
