Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds
1	LSE A		1st	1st	1st	1st	2nd	2nd	1st	2nd	1st	24	1499	6	3
2	Sydney E		2nd	1st	1st	4th	1st	1st	1st	1st	2nd	22	1475	6	2
3	Backpack		1st	1st	1st	1st	4th	1st	1st	3rd	2nd	21	1497	6	1
4	Yale A		1st	1st	3rd	2nd	1st	2nd	2nd	2nd	1st	21	1484	4	4
5	Zagreb A	ESL	1st	1st	3rd	2nd	1st	2nd	1st	1st	3rd	21	1478	5	2
6	Harvard B		1st	3rd	1st	2nd	4th	1st	1st	1st	1st	21	1468	6	1
7	Yale C		2nd	3rd	1st	2nd	3rd	1st	1st	1st	1st	21	1450	5	2
8	Oxford B		1st	2nd	1st	1st	2nd	2nd	3rd	2nd	2nd	20	1478	3	5
9	Harvard A		1st	1st	1st	2nd	1st	3rd	2nd	2nd	3rd	20	1477	4	3
10	Oxford C		2nd	1st	1st	1st	3rd	1st	4th	1st	2nd	20	1474	5	2
11	IBA Dhaka A	ESL	1st	3rd	1st	1st	4th	2nd	2nd	1st	1st	20	1454	5	2
12	UC Dublin L&amp;H A		2nd	1st	3rd	1st	4th	2nd	1st	1st	1st	20	1452	5	2
13	OU Israel A	ESL	3rd	2nd	4th	2nd	1st	1st	1st	1st	1st	20	1423	5	2
14	Macquarie B		1st	1st	1st	2nd	4th	3rd	1st	1st	3rd	19	1488	5	1
15	Cambridge A		1st	1st	2nd	1st	1st	1st	2nd	4th	4th	19	1472	5	2
16	Melbourne A		1st	1st	1st	4th	2nd	2nd	2nd	3rd	1st	19	1470	4	3
17	Hart House C		1st	2nd	4th	1st	3rd	3rd	1st	1st	1st	19	1454	5	1
18	Sydney D		1st	3rd	2nd	1st	2nd	2nd	1st	1st	4th	19	1453	4	3
19	Yale E		1st	2nd	3rd	3rd	1st	1st	3rd	1st	2nd	19	1453	4	2
20	Durham A		1st	1st	2nd	3rd	1st	3rd	3rd	2nd	1st	19	1450	4	2
21	ANU A		3rd	1st	1st	4th	1st	3rd	1st	1st	2nd	19	1435	5	1
22	Stanford A		1st	4th	1st	1st	4th	1st	1st	3rd	1st	19	1426	6	0
23	McGill A		1st	2nd	2nd	2nd	4th	1st	1st	3rd	1st	19	1426	4	3
24	Sydney A		2nd	1st	3rd	1st	2nd	2nd	2nd	4th	1st	18	1479	3	4
25	IBA Dhaka B	ESL	1st	1st	2nd	3rd	4th	3rd	1st	1st	2nd	18	1463	4	2
26	Ateneo A		1st	2nd	1st	4th	2nd	1st	1st	3rd	3rd	18	1460	4	2
27	Sydney B		1st	2nd	1st	1st	3rd	1st	4th	1st	4th	18	1457	5	1
28	Helsinki A	ESL	2nd	2nd	3rd	1st	1st	2nd	4th	2nd	1st	18	1456	3	4
29	NUS A		1st	3rd	2nd	1st	3rd	4th	1st	1st	2nd	18	1455	4	2
30	Oxford D		1st	3rd	2nd	3rd	1st	1st	1st	4th	2nd	18	1454	4	2
