Rk	break	team	Pts	Spk	1sts	2nds
1	(different break)	Belgrade B	17	1405.00	1	6
2	1	Rosario A	15	1416.00	2	4
3	2	IT Bandung A	15	1403.00	2	3
4	3	Jagiellonian A	15	1397.00	2	3
5	4	TEC CEM A	15	1385.00	2	3
6	5	Airlangga A	15	1364.00	3	1
7	6	Macau B	14	1387.00	2	2
8	7	Kyushu B	14	1379.00	2	2
9	8	Indonesia A	14	1377.00	1	5
