Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds
1	TCD Hist A		1st	1st	1st	1st	1st	2nd	1st	1st	1st	26	1491	8	1
2	Oxford B		1st	1st	4th	1st	1st	1st	2nd	2nd	2nd	21	1461	5	3
3	LSE A		1st	1st	1st	4th	2nd	2nd	3rd	1st	1st	20	1465	5	2
4	GUU C		1st	2nd	1st	3rd	3rd	1st	1st	3rd	1st	20	1437	5	1
5	LSE B		1st	1st	3rd	2nd	2nd	1st	1st	3rd	3rd	19	1451	4	2
6	Edinburgh A		1st	1st	3rd	2nd	1st	1st	3rd	1st	4th	19	1449	5	1
7	TAU A	ESL	1st	1st	2nd	1st	2nd	3rd	4th	1st	2nd	19	1445	4	3
8	Imperial A		1st	3rd	1st	3rd	1st	3rd	1st	1st	3rd	19	1442	5	0
9	HUJI B	ESL	2nd	2nd	1st	1st	3rd	2nd	2nd	2nd	2nd	19	1441	2	6
10	Vienna A	ESL	2nd	3rd	1st	3rd	3rd	1st	2nd	1st	1st	19	1412	4	2
11	Oxford A		1st	1st	2nd	2nd	2nd	4th	3rd	2nd	1st	18	1448	3	4
12	UCL A		1st	2nd	2nd	1st	4th	1st	2nd	4th	1st	18	1445	4	3
13	Zagreb A	ESL	2nd	1st	1st	2nd	1st	4th	4th	2nd	1st	18	1430	4	3
14	Cambridge A		2nd	1st	2nd	2nd	3rd	4th	1st	1st	2nd	18	1421	3	4
15	Leiden A	ESL	3rd	3rd	1st	1st	2nd	2nd	3rd	2nd	1st	18	1407	3	3
16	TCD Hist B		1st	3rd	1st	3rd	3rd	1st	1st	2nd	4th	17	1430	4	1
17	Ljubljana HK	ESL	1st	4th	1st	1st	4th	3rd	1st	2nd	2nd	17	1427	4	2
18	Phil A		1st	1st	4th	2nd	3rd	1st	4th	2nd	1st	17	1425	4	2
19	Birkbeck A		1st	2nd	1st	3rd	1st	2nd	3rd	4th	2nd	17	1424	3	3
