Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
106=	IIT Bombay WUDC love triangle complete	ESL	4th	2nd	2nd	3rd	3rd	6	765	0	2
108	Rosario Gustavo Bolivar no será alcalde de	ESL	3rd	3rd	3rd	3rd	2nd	6	765	0	1
109	Chicago LP	Novice	2nd	4th	1st	4th	3rd	6	764	1	1
110	CU A	ESL	4th	2nd	3rd	2nd	3rd	6	764	0	2
111	HUJI D	ESL	2nd	4th	2nd	4th	2nd	6	760	0	3
112	Berlin Utilitarian arguments disguised as	ESL	4th	3rd	2nd	3rd	2nd	6	760	0	2
113	HUJI S&amp;I	Novice	3rd	2nd	4th	4th	1st	6	759	1	1
114	Carleton 1		2nd	4th	2nd	2nd	4th	6	757	0	3
115	LSE D	Novice	3rd	3rd	2nd	2nd	4th	6	757	0	2
116	UW BlackPink	Novice	4th	1st	4th	1st	4th	6	750	2	0
117	cooked so hard we set Cali on fire		3rd	2nd	4th	4th	2nd	5	768	0	2
118	Polar Timezones	ESL	3rd	4th	1st	3rd	4th	5	765	1	0
119	BP&gt;APDA	ESL	3rd	3rd	2nd	3rd	4th	5	765	0	1
120	SLS Pune Where is my teammate? (Going thru		1st	3rd	3rd	4th	4th	5	764	1	0
121	UWODS Western D: Half Sleep-Deprived	Novice	3rd	4th	3rd	1st	4th	5	763	1	0
122	PUCP EN	ESL	3rd	4th	2nd	2nd	4th	5	762	0	2
123	EUDU Tom and Foolery - friends to foes	Novice	4th	1st	3rd	4th	3rd	5	759	1	0
124	USDU Try-hard Troopers		4th	2nd	4th	3rd	2nd	5	758	0	2
125	Budapest BanDia	ESL	4th	2nd	1st	4th	4th	5	755	1	1
126	DUDU Eastern Time Zone Tournament let&#x27;s		3rd	3rd	4th	4th	1st	5	754	1	0
127	FTU A	ESL	4th	2nd	3rd	3rd	3rd	5	747	0	1
128	BRAC A	ESL, Novice	4th	2nd	4th	2nd	3rd	5	744	0	2
129	Nanyang Tech NTUC Fairprice	Novice	4th	3rd	4th	3rd	1st	5	735	1	0
130	IIT Bombay Why debate now when we can debate	ESL, Novice	4th	4th	3rd	1st	3rd	5	731	1	0
131	Anti Capitalist Capitalist Squad		4th	1st	2nd	—	—	5	464	1	1
132	DAV XnO	ESL	3rd	4th	4th	2nd	3rd	4	755	0	1
133	Santo Tomas - Theory Can Only Take You So Far	ESL, Novice	4th	3rd	1st	4th	4th	4	754	1	0
134	MUST Hair Dye and Korean Girl	ESL	3rd	3rd	3rd	3rd	4th	4	751	0	0
135	TAU B	ESL	3rd	4th	4th	2nd	3rd	4	749	0	1
136	TAU Reut &amp; Emanuel	ESL	2nd	4th	3rd	3rd	4th	4	744	0	1
137	NSUT Bing Chilling	Novice	4th	3rd	4th	3rd	2nd	4	740	0	1
138	BUTEX A	Novice	4th	4th	2nd	2nd	4th	4	716	0	2
139	NSUT No lucks given	Novice	4th	3rd	4th	—	1st	4	590	1	0
140	NSUT Wonka&#x27;s Loompas	Novice	3rd	4th	3rd	4th	3rd	3	744	0	0
141	HH A&amp;M	Novice	4th	3rd	4th	4th	2nd	3	736	0	1
142	NTU QWERTYU		4th	4th	1st	4th	4th	3	733	1	0
143	CU B	ESL, Novice	4th	2nd	4th	3rd	4th	3	729	0	1
144	UWODS Sparsie	Novice	4th	4th	3rd	4th	2nd	3	724	0	1
145	DU - A	ESL, Novice	4th	3rd	3rd	4th	3rd	3	718	0	0
146	UCD L&amp;H w(A)it until u meet our biggest fa		2nd	3rd	4th	—	—	3	470	0	1
147	GLC Mumbai 1	ESL	3rd	4th	2nd	—	—	3	455	0	1
148=	Swing 10		—	—	—	1st	—	3	161	1	0
148=	Swing 2		1st	—	—	—	—	3	161	1	0
150	Swing 6		—	—	1st	—	—	3	159	1	0
151=	Swing 11		—	—	—	1st	—	3	155	1	0
151=	Swing 4		—	1st	—	—	—	3	155	1	0
153	KUET 1	ESL	4th	3rd	3rd	4th	4th	2	733	0	0
154	DU - B	ESL, Novice	4th	4th	3rd	3rd	4th	2	720	0	0
155	Swing 5		—	4th	—	2nd	—	2	295	0	1
156	Swing 9		—	—	—	2nd	—	2	157	0	1
157	Swing 3		—	2nd	—	—	—	2	153	0	1
158	Swing 8		—	—	2nd	—	—	2	149	0	1
159	Swing 7		—	—	2nd	—	—	2	143	0	1
160	NSUT Quick Wits	Novice	4th	4th	4th	4th	3rd	1	711	0	0
161	GNLU hoMANs	Novice	4th	4th	4th	3rd	4th	1	707	0	0
162	BRAC B	ESL	4th	3rd	4th	4th	—	1	571	0	0
163	Swing 1		3rd	—	—	—	—	1	154	0	0
164	Budapest Buda	Novice	4th	4th	4th	—	—	0	431	0	0
165	XU-AdC Kumakain ka kasi ng kalapati	ESL	4th	—	—	—	—	0	148	0	0
166=	UWODS Western A		—	—	—	—	—	—	—	0	0
166=	Swing 10		—	—	—	—	—	—	—	0	0
