Rk	team	categories	R1	R2	R3	R4	R5	R6	Pts	Spk	1sts	2nds
1	SC Candy Jar 2	Novice	1st	1st	1st	2nd	1st	1st	17	955	5	1
2	Stanford CF		3rd	1st	1st	1st	2nd	2nd	14	936	3	2
3=	Berkeley EV	Novice	1st	1st	3rd	3rd	2nd	1st	13	945	3	1
3=	UBC TiBo		1st	2nd	1st	1st	3rd	3rd	13	945	3	1
5	BP in your area		1st	2nd	3rd	2nd	1st	2nd	13	940	2	3
6	Carleton A		2nd	2nd	4th	1st	2nd	1st	12	910	2	3
7	Hebrew Hammer	Novice	1st	1st	2nd	4th	4th	1st	11	934	3	1
8	Stanford HK		1st	3rd	3rd	1st	1st	4th	11	934	3	0
9	Stanford FM		1st	3rd	2nd	1st	2nd	4th	11	930	2	2
10	Stanford DC	Novice	2nd	1st	2nd	2nd	4th	2nd	11	928	1	4
11	SC BP		2nd	4th	1st	1st	3rd	2nd	11	923	2	2
12	SC DW	Novice	3rd	1st	2nd	3rd	1st	3rd	11	919	2	1
13	Stanford QY		2nd	3rd	2nd	4th	1st	1st	11	914	2	2
14	Berkeley FS		4th	1st	2nd	3rd	3rd	1st	10	924	2	1
15	Stanford MA	Novice	1st	2nd	4th	3rd	1st	3rd	10	920	2	1
16	SC DeBAEters	Novice	4th	2nd	1st	2nd	4th	1st	10	909	2	2
17	Claremont NQ		2nd	2nd	1st	4th	4th	2nd	9	914	1	3
18	Colanders	Novice	4th	1st	1st	3rd	3rd	3rd	9	911	2	0
19	Carleton B		1st	4th	3rd	2nd	1st	4th	9	904	2	1
20	Berkeley DL		2nd	4th	2nd	3rd	2nd	2nd	9	902	0	4
21	Stanford RR	Novice	2nd	3rd	3rd	3rd	2nd	2nd	9	899	0	3
22	Carleton C		4th	2nd	3rd	1st	2nd	3rd	9	893	1	2
23	LC DzulFisherWoodring		4th	2nd	1st	2nd	3rd	4th	8	905	1	2
24	SC Goat Yoga	Novice	2nd	4th	4th	2nd	3rd	1st	8	904	1	2
25	UBC Maple Syrup	Novice	3rd	3rd	2nd	4th	1st	3rd	8	900	1	1
26	Claremont BA	Novice	4th	4th	1st	1st	2nd	4th	8	899	2	1
27	Swing 1		3rd	2nd	1st	4th	3rd	3rd	8	899	1	1
28	Mom and Dad		4th	3rd	3rd	3rd	2nd	1st	8	897	1	1
29	Berkeley CG		2nd	3rd	3rd	2nd	4th	3rd	7	913	0	2
30	SC KG		2nd	1st	4th	4th	4th	2nd	7	906	1	2
31	UBC MV		3rd	1st	4th	4th	1st	4th	7	905	2	0
32	UCSD 1		3rd	3rd	2nd	1st	4th	4th	7	901	1	1
33	Swing 2		1st	4th	4th	4th	4th	1st	6	897	2	0
34	SC exy		3rd	4th	2nd	2nd	3rd	4th	6	894	0	2
35	Rolling Pins	Novice	3rd	3rd	3rd	3rd	4th	2nd	6	892	0	1
36	LC BurtShem		4th	3rd	3rd	4th	1st	4th	5	887	1	0
37	Swing 3		4th	4th	4th	1st	4th	2nd	5	885	1	1
38	Claremont BK		3rd	4th	4th	3rd	2nd	3rd	5	880	0	1
39	UCSD 2	Novice	3rd	4th	4th	2nd	3rd	4th	4	882	0	1
40	SoffLee	Novice	4th	2nd	4th	4th	3rd	3rd	4	869	0	1
41=	Stanford MG		—	—	—	—	—	—	—	—	0	0
41=	UBC CJ	Novice	—	—	—	—	—	—	—	—	0	0
