Rk	break	team	Pts	Spk	1sts	2nds
1	(different break)	SC Candy Jar 2	17	955.00	5	1
2	(different break)	Berkeley EV	13	945.00	3	1
3	(different break)	Hebrew Hammer	11	934.00	3	1
4	(ineligible)	Stanford DC	11	928.00	1	4
5	1	SC DW	11	919.00	2	1
6	2	Stanford MA	10	920.00	2	1
7	3	SC DeBAEters	10	909.00	2	2
8	4	Colanders	9	911.00	2	0
