Rk	break	team	Pts	Spk	1sts	2nds
1	1	SC Candy Jar 2	17	955.00	5	1
2	2	Stanford CF	14	936.00	3	2
3=	3	Berkeley EV	13	945.00	3	1
3=	3	UBC TiBo	13	945.00	3	1
5	5	BP in your area	13	940.00	2	3
6	6	Carleton A	12	910.00	2	3
7	7	Hebrew Hammer	11	934.00	3	1
8	8	Stanford HK	11	934.00	3	0
