team	result	side	adjudicators
McGill When Humie met Andy	eliminated	Opening Government	Fiachra NolanⒸ , Aymaan Sheikh , Juanita Hincapié R , Rishabh Gupta , Rose Zhou
An Irish commie and a Bulgarian fa	advancing	Opening Opposition	Fiachra NolanⒸ , Aymaan Sheikh , Juanita Hincapié R , Rishabh Gupta , Rose Zhou
Oxford A (I am currently out of the office	advancing	Closing Opposition	Fiachra NolanⒸ , Aymaan Sheikh , Juanita Hincapié R , Rishabh Gupta , Rose Zhou
LSE (C)unt means friend in Australia	eliminated	Closing Government	Fiachra NolanⒸ , Aymaan Sheikh , Juanita Hincapié R , Rishabh Gupta , Rose Zhou
Better enemy to friend arc than Bri	eliminated	Closing Opposition	Alishba IrfanⒸ , Brian Kam , Max Rosen , Theo Simion , Vansh Chadha
Josh says no making pasta at 2 AM	eliminated	Opening Government	Alishba IrfanⒸ , Brian Kam , Max Rosen , Theo Simion , Vansh Chadha
LSE A	advancing	Closing Government	Alishba IrfanⒸ , Brian Kam , Max Rosen , Theo Simion , Vansh Chadha
Oxford AP	advancing	Opening Opposition	Alishba IrfanⒸ , Brian Kam , Max Rosen , Theo Simion , Vansh Chadha
