team	result	side	adjudicators
EDS we bully cuds all the time	eliminated	Closing Government	Juanita Hincapié RⒸ , Alishba Irfan , Fiachra Nolan , Lwandle Ntshangase , Wajeeh Maaz
Only here to outtab our A Team	eliminated	Closing Opposition	Juanita Hincapié RⒸ , Alishba Irfan , Fiachra Nolan , Lwandle Ntshangase , Wajeeh Maaz
McGill When Humie met Andy	advancing	Opening Government	Juanita Hincapié RⒸ , Alishba Irfan , Fiachra Nolan , Lwandle Ntshangase , Wajeeh Maaz
An Irish commie and a Bulgarian fa	advancing	Opening Opposition	Juanita Hincapié RⒸ , Alishba Irfan , Fiachra Nolan , Lwandle Ntshangase , Wajeeh Maaz
Better enemy to friend arc than Bri	advancing	Closing Government	Matt CaitoⒸ , Aymaan Sheikh , Jack Palmer , Rose Zhou , Theo Simion
Yale milei haters	eliminated	Closing Opposition	Matt CaitoⒸ , Aymaan Sheikh , Jack Palmer , Rose Zhou , Theo Simion
St. Andrews OBohmna	eliminated	Opening Opposition	Matt CaitoⒸ , Aymaan Sheikh , Jack Palmer , Rose Zhou , Theo Simion
Josh says no making pasta at 2 AM	advancing	Opening Government	Matt CaitoⒸ , Aymaan Sheikh , Jack Palmer , Rose Zhou , Theo Simion
