Rk	break	team	Pts	Spk	1sts	2nds	3rds
1	1	Sydney C	23	1501.00	6	2	1
2	2	Dartmouth A	22	1489.00	5	3	1
3	3	Stanford A	21	1487.00	6	1	1
4	4	Oxford A	21	1481.00	6	1	1
5	5	Sydney B	20	1496.00	5	2	1
6	6	UNSW A	20	1485.00	3	5	1
7	7	Sydney A	20	1480.00	5	2	1
8	8	OpenU A	19	1484.00	4	3	1
9	9	Oxford C	19	1469.00	5	0	4
10	10	Sydney G	19	1461.00	3	4	2
11	11	Harvard A	19	1459.00	4	3	1
12	12	McGill C	19	1455.00	5	2	0
13	13	PDP D	19	1454.00	3	4	2
14	14	Bates A	19	1445.00	3	4	2
15	15	Sydney E	19	1432.00	6	0	1
16	16	Manchester A	18	1468.00	6	0	0
17	17	Zagreb A	18	1467.00	5	0	3
18	18	Tokyo A	18	1466.00	2	5	2
19	19	UChicago B	18	1458.00	3	3	3
20	20	Sydney H	18	1443.00	4	2	2
21	21	UChicago A	18	1437.00	4	2	2
22	22	KCL A	18	1431.00	3	4	1
23	23	UNSW B	18	1422.00	4	1	4
24	24	ADS Gold	18	1407.00	4	3	0
25	25	Sydney D	17	1452.00	3	3	2
26	26	Columbia A	17	1450.00	3	3	2
27	27	DSB A	17	1447.00	2	5	1
28	28	Sydney F	17	1445.00	3	2	4
29	29	TCD Phil A	17	1437.00	5	0	2
30	30	EUDU A	17	1437.00	4	2	1
31=	31	UPenn A	17	1437.00	4	1	3
31=	32	UPenn B	17	1437.00	4	1	3
33	33	Oxford E	17	1435.00	4	2	1
34	34	Oxford D	17	1433.00	4	2	1
35	35	UPenn C	17	1432.00	3	3	2
36	36	Technion A	17	1425.00	5	0	2
37	37	Oxford B	17	1416.00	2	5	1
38	38	LSE A	17	1415.00	3	3	2
39	39	BDU A	17	1415.00	3	2	4
40	40	Yale A	17	1414.00	2	5	1
41	41	IIUM A	17	1397.00	4	1	3
42	42	PDP E	16	1455.00	3	3	1
43	43	UCLA A	16	1453.00	2	4	2
44	44	PDP A	16	1444.00	3	3	1
45	45	HHDC A	16	1437.00	4	2	0
46	46	Stanford D	16	1431.00	3	2	3
47	47	Harvard B	16	1429.00	4	1	2
48	48	Stanford B	16	1425.00	2	3	4
