Rk	break	team	Pts	Spk	1sts	2nds	3rds
1	(different break)	Zagreb A	18	1467.00	5	0	3
2	(different break)	PUCP CG	16	1416.00	3	3	1
3	(different break)	BFSU A	15	1395.00	2	4	1
4	1	TEC CEM M	15	1380.00	2	3	3
5	2	BINUS A	13	1356.00	2	3	1
6	3	Rosario D	13	1347.00	2	3	1
7	4	USPd A	12	1356.00	2	2	2
