team	institution	result	side	adjudicators
Pour decisions	—	advancing	Opening Government	William SmithⒸ , Aryan Khokher , Luyanda Madliwa , Rina Hendrie , Shireen Ali
ACS Botev*	—	eliminated	Opening Opposition	William SmithⒸ , Aryan Khokher , Luyanda Madliwa , Rina Hendrie , Shireen Ali
ACS Levski*	—	eliminated	Closing Government	William SmithⒸ , Aryan Khokher , Luyanda Madliwa , Rina Hendrie , Shireen Ali
GUU D	GUU	eliminated	Closing Opposition	William SmithⒸ , Aryan Khokher , Luyanda Madliwa , Rina Hendrie , Shireen Ali
