team	institution	result	side	adjudicators
USP Team Brazil	USP	eliminated	Opening Government	Wajeeh MaazⒸ , Jason Pocock , Sasha Khovrak , Shane Tully , Trudeau Okech
Tallinn HS A	Tallinn HS	advancing	Opening Opposition	Wajeeh MaazⒸ , Jason Pocock , Sasha Khovrak , Shane Tully , Trudeau Okech
KNUST Mr. Ntiri and the Big Stepper	KNUST	eliminated	Closing Government	Wajeeh MaazⒸ , Jason Pocock , Sasha Khovrak , Shane Tully , Trudeau Okech
NU S	NU	eliminated	Closing Opposition	Wajeeh MaazⒸ , Jason Pocock , Sasha Khovrak , Shane Tully , Trudeau Okech
