Rk	break	team	institution	Pts	Spk	1sts	2nds
1	(different break)	Imperial team name	Imperial	11	761.00	3	0
2	1	Pour decisions	—	6	770.00	1	1
3	2	GUU D	GUU	6	751.00	1	0
4	3	ACS Botev*	—	6	749.00	1	1
5	4	ACS Levski*	—	4	747.00	0	0
