team	result	side	adjudicators
BDU 2	2nd	Opening Government	Enting LeeⒸ , Anubhav Agarwal , Lidya Andreani
Harvard C	1st	Opening Opposition	Enting LeeⒸ , Anubhav Agarwal , Lidya Andreani
Haifa A	4th	Closing Government	Enting LeeⒸ , Anubhav Agarwal , Lidya Andreani
NUS B	3rd	Closing Opposition	Enting LeeⒸ , Anubhav Agarwal , Lidya Andreani
NNU 1	3rd	Opening Government	Ela JurkoⒸ , Aldi Putra Liani , Thomas Burnett
NLU A	1st	Opening Opposition	Ela JurkoⒸ , Aldi Putra Liani , Thomas Burnett
Parahyangan 1	4th	Closing Government	Ela JurkoⒸ , Aldi Putra Liani , Thomas Burnett
UFMG 1	2nd	Closing Opposition	Ela JurkoⒸ , Aldi Putra Liani , Thomas Burnett
Taylor’s 1	1st	Opening Government	Abhinav Reddy BathulaⒸ , Aditya Dhar , Pragyan Acharya
Zagreb B	4th	Opening Opposition	Abhinav Reddy BathulaⒸ , Aditya Dhar , Pragyan Acharya
HUJI B	3rd	Closing Government	Abhinav Reddy BathulaⒸ , Aditya Dhar , Pragyan Acharya
Princeton B	2nd	Closing Opposition	Abhinav Reddy BathulaⒸ , Aditya Dhar , Pragyan Acharya
RUC 1	3rd	Opening Government	Diego DuarteⒸ , Abrar Muhit , Reut Ginat
Mona	1st	Opening Opposition	Diego DuarteⒸ , Abrar Muhit , Reut Ginat
BUP 1	4th	Closing Government	Diego DuarteⒸ , Abrar Muhit , Reut Ginat
Strathmore A	2nd	Closing Opposition	Diego DuarteⒸ , Abrar Muhit , Reut Ginat
IUB 1	1st	Opening Government	Aisha O&#x27;MalleyⒸ , Ashutosh  Bahuguna , Petiho Beatrice
Chittagong A	2nd	Opening Opposition	Aisha O&#x27;MalleyⒸ , Ashutosh  Bahuguna , Petiho Beatrice
UNAL A	4th	Closing Government	Aisha O&#x27;MalleyⒸ , Ashutosh  Bahuguna , Petiho Beatrice
ZISU	3rd	Closing Opposition	Aisha O&#x27;MalleyⒸ , Ashutosh  Bahuguna , Petiho Beatrice
Canada West - SFU Crew	3rd	Opening Government	Matt CaitoⒸ , Jyotirmoy  Mishra , Patrick Cowley
UBC1	2nd	Opening Opposition	Matt CaitoⒸ , Jyotirmoy  Mishra , Patrick Cowley
ANU 3	4th	Closing Government	Matt CaitoⒸ , Jyotirmoy  Mishra , Patrick Cowley
Sunway A	1st	Closing Opposition	Matt CaitoⒸ , Jyotirmoy  Mishra , Patrick Cowley
TEC CEM 1	1st	Opening Government	Noluthando HononoⒸ , Eyal Horowitz , JJ Pine
IBA-DU 2	3rd	Opening Opposition	Noluthando HononoⒸ , Eyal Horowitz , JJ Pine
UAA1	2nd	Closing Government	Noluthando HononoⒸ , Eyal Horowitz , JJ Pine
Malaya 2	4th	Closing Opposition	Noluthando HononoⒸ , Eyal Horowitz , JJ Pine
KCL A	2nd	Opening Government	Eric KazadiⒸ , Nimaya Harris , Paolo  Taino
PUCP GV	3rd	Opening Opposition	Eric KazadiⒸ , Nimaya Harris , Paolo  Taino
GCU	4th	Closing Government	Eric KazadiⒸ , Nimaya Harris , Paolo  Taino
